cleaned_position,new_position
Drug Safety and Post-market Surveillance,
Drug Safety Monitoring and Clinical Trial,
Drug Warehouse Manager,
"Drug, Cosmetics, and Tobacco Control",
"drug, cosmetics, and tobacco licensing and control",
"drug, medical device, and cosmetics inspection and licensing",
"drug, medical device, and cosmetics products safety and post-market surveillance",
Druggist,
Druggist/ Pharmaceutical Product Supply Chain Officer,
Drummer,
Drupal developer,
Drupal Site studio developer,
Dryland Agriculture Advisor,
drywall and ceiling tile installers,
"DSG, Membership Affairs & Communication",
DTM Database Assistant,
Dump Tracks,
Dump Truck contract work,
Duolingo English Test tutor,
Dupt project manager,
Durable Solutions Analyst â€“ Programme Management & Operations,
Durable Solutions Specialist,
Dutch Teacher,
Duty Free Representative Salesperson Airport,
duty stations,
"ear, nose, throat, head and neck surgery",
Early Recovery Project Coordinator,
early warning data analyst,
"early warning facility, infrastructure and technology",
early warning information and operations coordination executive,
early warning information intelligence and forecasting,
early warning information intelligence and forecasting study and research,
early warning infrastructure and technology,
Early Warning Officer,
"earth drillers, except oil and gas",
Earthmoving Machinery Electrician,
Earthwork Foreman,
Earthwork Superintendent,
E-Banking Officer for Head Office,
E-Banking Settlement & Reconciliation Officer,
E-Banking Technical Support Officer,
Ebirr Operators,
ECCE Creative Production Specialist,
ECCE Project Manager,
ECHO Project Manager,
eco-hydrologist,
ecohydrology and water quality,
ECOMMERCE ACCOUNT MANAGER,
e-commerce and digital entrepreneurship,
eCommerce Assistant Marketer,
eCommerce Commission Agents,
Ecommerce Deputy Director,
Ecommerce Finance Manager,
Ecommerce Mobile App and Web Admin Panel Developer,
Econometrician,
economic analysis and policy executive,
economic and infrastructure sector plan performance monitoring and evaluation,
economic and social development,
economic and social rights,
economic budget administration,
economic conditions,
Economic Cooperation and Private Sector Development Advisor,
economic development,
economic development sectors mainstreaming,
Economic Development Specialist,
Economic Empowerment Officer,
economic growth,
economic infrastructure construction support and monitoring engineer,
economic infrastructure standardization,
economic integration,
economic policy,
Economic Policy Advisor,
economic recession,
economic reconstruction,
economic recovery,
economic reform,
economic reform and privatization office head,
economic reform division head,
economic sector,
economic sector employees entry and grade advancement competency assessment and certification monitoring and control,
economic sector planning and monitoring,
economic sectors,
economic statistics analyst,
economic study and research,
Economics And Business Management,
economics expert,
"economics teacher, postsecondary",
Economics Tutor,
Economist,
ecosystem monitoring and enhancement,
ecosystem protection,
ecosystem service model study and valuation,
ecosystem service valuation and carbon trading system,
ecosystem utilization and biosafety control,
Editing and Data Entry,
Editor and graphic artist,
Editor And Graphics Designer,
Editor And Writer,
Education & Visa Consultancy Manager,
Education Administration,
"Education Advisor, GS-13",
Education and Child Protection Program Manager,
Education and Gender Officer,
Education and Life skills Technical Program Coordinator,
Education and Outreach Specialist,
Education and Promotion,
Education and Training,
Education and Training Internal Quality Audit and Monitoring,
Education and Training Lead Executive,
Education and Training Quality Assurance Coordinator,
Education and Training Quality Audit Coordinator,
Education Assistant,
Education Cluster Information Management Specialist,
education credential verification and authentication service specialist,
Education Credential Verification and Equivalency Lead Executive,
education credential verification specialist,
Education Expert,
education grant,
education ict research and study expert,
education in emergencies continuity and support expert,
Education in Emergency Coordinator,
Education in Emergency EIE Project Officer,
Education in Emergency Project MEAL Officer,
education information management and ict lead executive,
education information management and system expert,
Education Licensing Executive,
Education Monitoring,
education professionals and leaders short-term training,
education program and quality improvement expert,
education programs and quality improvement,
education quality control and improvement,
education sector,
"education teachers, postsecondary",
Education Technical Advisor,
Education Technical Assistant,
"Education, Publication & Communication Expert",
educational assessment and research,
"educational instruction and library workers, all other",
educational languages development,
educational management information supply,
educational materials documentation,
educational materials preparation and distribution control,
educational materials preparation and logistics,
educational media editing,
educational media graphics and animation,
educational media studio operations and management,
educational programs director,
"educational, guidance, and career counselors and advisors",
Effective Marketing Manager,
efficient c++ programmer,
EH Program Assistant,
EHS Compliance Officer,
EHS Manager,
EHS officer,
Elderly Care and Support Center Manger,
Elearning Website Developer,
Election Dispute Resolution (EDR) Expert,
Election Legal Affairs and Case Management Expert,
Election Operation Desk Expert,
Election Operations Expert,
electric customer service and regional support,
Electric Distribution Material Warehouse storekeeper,
Electric motor rewinding technician,
"electric motor, power tool, and related repairers",
Electrical & Automation Engineer,
Electrical & Instrument Technician,
Electrical and Automation maintenance Section head,
Electrical and Automation Technician,
Electrical and computer engineer,
electrical and electronic engineering technologists and technicians,
electrical and electronic equipment assemblers,
electrical and electronic waste compliance,
electrical and electronics,
electrical and electronics drafters,
Electrical and Electronics Engineer,
"electrical and electronics installers and repairers, transportation equipment",
"electrical and electronics repairers, commercial and industrial equipment",
"electrical and electronics repairers, powerhouse, substation, and relay",
Electrical and Instrument Technician,
electrical and mechanical inspector,
Electrical and Sanitary Design Engineer,
electrical appliance efficiency and standard,
Electrical design tutorial,
Electrical Designer,
Electrical Engineer,
electrical engineering,
Electrical industrial plan design,
Electrical Maintenance,
Electrical Maintenance Technicians,
electrical power-line installers and repairers,
electrical professional,
Electrical Supervisor,
electrical technician,
electrical technology transfer and consulting,
electrical works professional competence and licensing,
Electrical/computer Engineering,
Electrical/Telecom Engineers,
Electrician,
Electrification,
Electrification and Energy Information Management Executive,
Electrification Development and Monitoring Coordination,
Electro - Mechanical Engineer,
Electro Mechanical Asset Valuator,
Electro mechanical Engineer,
Electro- Mechanical Section Head,
Electro Mechanical/General Technician,
Electromechanical and Computer Science Internship,
Electro-Mechanical and Mechatronics Technologists and Technicians,
Electro-Mechanical Consultant,
Electro-Mechanical Engineer,
Electro-Mechanical Engineering Coordinator,
Electro-Mechanical Engineering Study and Research,
Electromechanical Equipment Assemblers,
Electromechanical Expert,
Electromechanical Technician,
Electro-Mechanical Technician,
Electronic and Computer Industries,
Electronic and Electrical Appliances Inspection and Law Enforcement,
Electronic and Electrical Appliances Notification and Licensing,
electronic certification auditor,
electronic certification expert,
electronic certification service,
electronic certification system administrator,
electronic certification system development expert,
Electronic Communication and Multimedia Trainer,
"electronic equipment installers and repairers, motor vehicles",
Electronic Marketing Electronic Auction and Platform Marketing Agent,
Electronic music DJ,
Electronic Procurement System Support,
electronic services system implementation professional,
Electronic Tax Declaration Support and Monitoring Specialist,
electronic transaction expert,
Electronic Waste Manager,
"electronic, electrical appliances, space and geo-spatial technologies regulatory control executive",
electronics engineer,
"electronics engineers, except computer",
electronics professional,
Electronics Sales Worker,
Electronics Technician,
electroplating professional,
"elementary school teachers, except special education",
elevator and escalator installers and repairers,
Elevator Attendant,
Elevator Electrical Technician,
Elevator Installer / Installation Technician,
Elevator Mechanical Technician,
Elevator/Lift Maintenance Technician,
"eligibility interviewers, government programs",
EMA IRB Secretary,
email and messaging,
Email Creator,
"Email marketer, Blog writer",
embalmers,
Embassy application assistant,
Embedded Systems Engineer,
Embroidery Machine Operator,
Emergency & Humanitarian Response Team Leader,
Emergency Agriculture Recovery Officer,
Emergency and Critical Care,
Emergency and Critical Care Advisor,
emergency and critical care nurse,
emergency and critical care service desk,
Emergency and Humanitarian Response Project Coordinator,
Emergency and Special Support Desk,
Emergency Clinical Officer,
Emergency Coordinator,
Emergency FSL Officer,
Emergency Health and Nutrition Coordinator,
Emergency Health and Nutrition Project Coordinator – Mental Health and Nutrition Team (MHNT),
Emergency Health Officer,
Emergency Health Response Officer,
Emergency Intern,
Emergency Livelihood Project Coordinator,
Emergency Livelihood Project Officer,
Emergency Logistics Officer,
Emergency Management,
Emergency Meal Coordinator,
Emergency Medical,
Emergency Medical Service Coordinator,
Emergency Medicine,
Emergency Nutrition Officer,
Emergency Operation and Information Centre Expert,
Emergency Passport Registration Service,
Emergency Preparedness and Response Division Manager,
Emergency Preparedness and Response Manager,
Emergency Program Coordinator,
Emergency Project Coordinator,
Emergency Project Officer,
Emergency Rapid Response Environmental Health Manager,
Emergency Refugee Camps Accessibility Audit Works,
Emergency Response Advisor,
Emergency Response Cluster Coordinator,
Emergency Response Field Coordinator,
Emergency Response Manager,
Emergency Response Multi-Sector Program Manager,
Emergency Supply Chain Management Coordinator,
Emergency Surgical Officer,
Emergency Wash Coordinator,
Emergency Wash Officer,
Emergency Wash Project Manager,
Emergency Woreda Coordinator & GBV Officer,
Emerging Technology Workshop,
Employability and Life Skills Trainer,
"Employability, skills development and training officer",
Employee,
Employee Profile,
Employee Records & HR Data Analytics Officer,
Employee Recruitment & Placement Officer,
Employee Relation Manager,
Employee Relation Officer,
Employee Relations & Safety Officer,
"Employee Relations, Training and Development Lead",
Employee Service and Incentive,
employee service and incentive team leader,
Employees Restaurant Supervisor,
employers organizations,
Employment,
employment accident benefits,
employment creation,
employment injury insurance,
employment policy,
employment relationship,
employment security,
employment services,
emporium product receiving expert,
EMPOWERMENT AND BDS PROVIDERS,
Empty Goods Supervisor,
Empty WH Supervisor,
Enabling Environment Advisor,
Enabling environment and partnership manager/Lead,
endocrinology and diabetes sub-specialist,
endoscopy technicians,
Energetic Assistant manager,
Energetic Call Center Agent,
energy auditors,
Energy Consultants,
"energy efficiency supply, distribution and monitoring investment lead executive",
"energy engineers, except wind and solar",
energy expert,
energy facility competency assurance desk,
Energy Information Management and Modeling,
Energy Investment Licensing and Support,
Energy Laboratory,
Energy Market Study and Tariff,
Energy Measurement Verification and Inspection,
Energy Modeling: Engineer/Architect,
Energy plant / Boiler operator,
Energy product technical engineer,
Energy Production,
Energy Projects TL & Intern,
Energy Resource Study,
Energy Sector Development and Regional Integration,
Energy Sector Greenhouse Gas Emissions and Reduction Verification,
Energy Supply and Distribution Monitoring,
Energy Technology Design,
Energy Workshop and Laboratory,
Engagement Monitoring Specialist,
engine and other machine assemblers,
Engineer and Collateral Valuator( Civil),
Engineer Real Estate,
Engineer Real State,
Engineer STTA,
engineering,
Engineering Admin Coordinator,
Engineering and Architectural Work Advisor,
Engineering and Maintenance Head / Technical Head,
Engineering and Maintenance Manager,
engineering and maintenance service executive,
engineering and maintenance service team leader,
Engineering and Technical Service,
Engineering and Technology Director,
Engineering Department Head,
Engineering Department Manager,
Engineering Drawing,
Engineering Drawing Tutor,
Engineering Foreman,
Engineering Geologist,
Engineering Hydraulic Engineering Deputy Manager,
Engineering Officer,
Engineering Procurement,
Engineering Products,
Engineering Services Division Head,
Engineering Softwares Teacher,
Engineering Store Supervisor,
"engineering teachers, postsecondary",
Engineering Technician,
"engineering technologists and technicians, except drafters, all other",
"engineers, all other",
English Language,
"english language and literature teachers, postsecondary",
English Language Home Tutor,
English Language Teacher for YouTube and TikTok,
English Narrator,
English Script Writer,
English Sidamo Translator,
English Teacher,
English to Amharic Legal Translator,
English to Amharic YouTube Video Script Translator,
English to Annuak Translator,
English to Oromeffa Translator,
English Translator,
English Voice Actor,
English Voiceover,
Enset Development and Technology,
Enset Post-Harvest,
Enset Seed Multiplication,
Enterprise Capacity Building,
enterprise creation,
enterprise development,
Enterprise Expansion,
enterprise restructuring,
Enterprise Service and Transition,
"entertainers and performers, sports and related workers, all other",
Entertainment and Business Writer and Reader (for YouTube),
"entertainment and recreation managers, except gambling",
"entertainment attendants and related workers, all other",
Entertainment Host,
entertainment industries,
entrepreneurship,
Entrepreneurship and Development Works,
Entrepreneurship and Skills,
Entrepreneurship Identification and Recruitment,
Entrepreneurship Program,
Entrepreneurship Support and Monitoring,
Entry and Career Development Competency and Assessment,
entry and exit points communicable disease control and coordination division head,
Enumerator Supervisor,
environment,
Environment & Safety Engineer,
Environment and Climate Change Policy Analysis,
environment and climate change policy analysis expert,
environment and community development assessment and monitoring,
"environment, community, and climate change",
"environment, forest, and land use statistician",
"Environment, Health & Safety Coordinator",
"Environment, Health and Safety Officer",
Environmental Advisor,
environmental agreements and climate change implementation monitoring,
environmental agreements and green technology transfer monitoring,
"environmental agreements preparation, partnership and implementation monitoring",
environmental and climate change agreement and partnership,
Environmental and Climate Change Capacity Building and Awareness Creation,
Environmental and Climate Change Information and Capacity Building,
Environmental and Climate Change Information and Knowledge Management,
Environmental and Demographic,
Environmental and Natural Resource Status Information and Report Preparation,
Environmental and Natural Resource Status Information Preparation,
Environmental and Occupational Safety Monitoring and Evaluation,
Environmental and Social Impact Assessment,
Environmental and Social Impact Monitoring,
Environmental and Social Safeguards,
Environmental Audit,
Environmental Complaint Handling,
Environmental Compliance Assistant,
Environmental Compliance Inspector,
Environmental Coordinator,
Environmental Crime Prevention and Inspection Expert,
Environmental Damage Crime Investigator,
Environmental Degradation,
Environmental Demography Study and Research Expert,
Environmental Economist,
Environmental Engineer,
Environmental Engineering Technician,
Environmental Health & Occupational and Safety,
Environmental Health Agent,
Environmental Health Emergency Rapid Response Manager,
Environmental Health Safety Officer,
Environmental Health Technician,
Environmental Impact Assessment,
Environmental Impact Monitoring and Assessment Expert,
Environmental Impact Toxicologist,
Environmental Laboratory Information Service,
Environmental Law and Standards Preparation Desk Head,
Environmental Litigation Initiation Expert,
Environmental Management,
Environmental Manager,
Environmental Officer,
Environmental Permit Service Expert,
Environmental Planner,
Environmental Protection,
Environmental Restoration Planner,
Environmental Rights Awareness,
Environmental Scientist,
Environmental Social Expert,
Environmental Social Governance Impact Reporting,
Environmental Social Risk Specialist,
Environmental Social Safeguards Expert,
Environmental Specialist,
Environmentalist,
Environmentalist Safety Officer,
"EO, Internal Audit & Risk Management Department",
E-Payment Officer,
EPI Program Coordinator,
EPI Project Officer,
Epidemiologist,
Epoxy Teacher,
Equal Employment Opportunity,
Equestrian Athlete,
Equipment & Machinery Admin,
Equipment & Maintenance Manager,
Equipment & Plant Maintenance Division Head,
Equipment & Plant Maintenance Officer,
Equipment Admin Head,
Equipment Administration and Maintenance Manager,
Equipment Administrator,
Equipment Admiration & Maintenance Div. Head,
Equipment and Fleet Manager,
equipment and supplies,
Equipment Inspection Head,
Equipment Inspector,
Equipment Maintenance,
Equipment Maintenance Mechanic,
Equipment Maintenance Officer,
equipment supervisor,
"Equipment Utilization, Evaluation and Control Officer",
equivalency desk head,
ER and Compensation Specialist,
ergonomic hazards,
ERP Analyst,
ERP and Data Analyst Internal Audit Head,
ERP Consultant,
ERP Developer,
ERP Encoder,
ERP functional consultant,
ERP Intern,
ERP Management,
ERP Manager,
ERP Project Manager,
ERP Sales,
ERP Software Development,
ERP Specialist,
ERP Support,
ERP Support Specialist,
"ERP, CRM, SAP and BI Software Sales Officer",
ERPNext Implementer,
Ertib bet serategna,
ES/NFI Assistant,
ES/NFI Officer,
ESNFI Officer,
ESNFI Project Officer,
Esports highlights creator (video editing),
Essay editor,
Essay writer,
Esthetic Teacher,
ETA Livestock,
etchers and engravers,
Ethical hacker and content creator.,
Ethics & Compliance Manager,
ethics and anti-corruption enforcement monitoring desk head,
ethics and anti-corruption enforcement monitoring expert,
Ethics and Anticorruption Officer,
ethics and anti-corruption training,
ethics building trainer,
Ethics Monitoring,
Ethics Monitoring Department Manager,
Ethics Officer,
Ethiopia Electric Utility Interface Coordinator,
Ethiopia Finance and Administration Manager,
"Ethiopia Health, Safety and Security (HSS)",
Ethiopia HR and Finance Coordinator,
Ethiopia IT Support Officer,
Ethiopia Office and Culture Coordinator,
Ethiopia Procurement Coordinator,
Ethiopia Program Innovation and Fundraising,
Ethiopia Research and Evaluation Analyst,
Ethiopia Resilience Measurement Consultant,
Ethiopia TA Food Environment Officer,
Ethiopian and European dish cook,
ethiopian education and research network operations,
ethiopian education and research network technical,
Ethiopian history content writer,
ethiopian studies library service,
Ethnic Groups,
Ethnographic Heritage Custodian,
Ethnomusicology,
"Europe, America, and Oceania Cooperation",
Evaluation and Monitoring Officer,
Evaluator for a Research Paper,
EVD Agent,
EVD Developer,
EVD Distribution Manager,
EVD Electronic Mobile Cards Retailers,
EVD Sales & Marketing Supervisor,
EVD Supervisor,
Evening and Continuing Education Coordination,
Evening and Continuing Education Teaching-Learning Process Facilitator,
Event & Marketing Coordinator,
Event Affairs,
Event Ambassadors and VIP Hosts,
Event and Activation Manager,
Event and Communications Officer,
Event and Partnerships Manager,
Event and Public Forum Preparation,
Event Booking Center/Events Coordinator,
Event coordination,
Event Coordinator,
Event Coordinator and Marketing Expert,
Event Decor and Catering,
Event Decor and Sound System,
Event Decoration,
Event Decoration Trainer,
Event Department Manager,
Event Designer,
Event Executive and Insight Developer,
Event Facilitator,
Event Live Streaming Production Technician,
Event Manager,
Event Operations Manager,
Event Organizer,
Event Organizing Assistant,
Event Organizing Company,
Event Organizing Manager,
Event Planner & Event Marketer,
Event Planner and Executor,
event preparation and publication,
Event Project Manager,
Event Sales Agent,
Event Sales Executive,
Event Specialist,
Events & Multimedia Manager,
Events Manager,
Events Sales Coordinator,
Evidence and Impact Specialist,
Evidence and Learning Advisor,
exam administration services preparation and management,
exam and assessment,
exam and registration team leader,
exam correction professional,
exam infrastructure monitoring and support professional,
exam input allocation and management professional,
exam input and infrastructure management desk head,
exam management lead executive,
"excavating and loading machine and dragline operators, surface mining",
"Excavator drivers, dump truck drivers, surveyors",
Excavator operator,
Excel VBA Expert,
Exchange Procurement,
exchange rates,
Excutive Manger,
Excutive Producer,
Executive - Standardization,
Executive Administration,
Executive Assistance to the CEO,
Executive Assistant,
Executive Assistant / Receptionist,
"Executive Assistant and Board Secretary to HMA, DHM and DPR to AU x 3 (33/23 ADD)",
Executive Assistant and Content Producer (For YouTube Channel),
Executive Assistant to the Chief Executive Officer,
"Executive Assistant to the country Manager, Ethiopia",
Executive Assistant to the Development Director and Board Secretary,
Executive Assistant to the General Manager,
Executive assistant/ secretary,
Executive Assistant/Admin Assistant,
Executive Chef and Restaurant Manager,
Executive Clerk & Worker,
Executive Commissioner,
Executive Director / National General Secretory/,
Executive Director Internal Audit,
executive director of drilling engineering service,
Executive Director of ECSOC,
Executive Director of Human Capital Management,
executive director of judicial and justice bodies training,
executive director of justice system reform and legal information center,
executive director of laboratory and workshop administration,
executive director of microbiology quality testing laboratory,
executive director of plant quarantine regulatory,
executive director of plant variety and seed regulatory,
Executive Director of Strategy and Innovation,
executive for civil service strategic sector issues,
"executive for environment, community, and climate change",
executive for ethics and anti-corruption training,
executive for expansion and incentive,
executive for export product competitiveness,
Executive for External Relations and Communication Affairs,
executive for forest product utilization and compliance,
executive for green legacy and plantation forestry,
executive for industrial relations and working conditions monitoring,
executive for intellectual property client affairs,
executive for international maritime law and cooperation,
executive for irrigation infrastructure management,
executive for irrigation project management,
executive for irrigation project preparation,
executive for irrigation projects study and design,
"executive for irrigation, pastoral, and lowland area research",
executive for job creation expansion,
executive for labor market information system and technology transfer,
executive for language study and translation development promotion,
"executive for maternal, child, and adolescent health service",
executive for medical device evaluation and market authorization,
"executive for medicine, medical equipment, and supplies",
executive for monitoring and support of mining development mega projects,
executive for monitoring and support of oil and geothermal development mega projects,
executive for national test preparation,
"executive for occupational standards, training curriculum preparation, and competency assessment",
"executive for personal data protection law preparation, technology study and training",
executive for persons with disabilities affairs,
executive for procurement and property,
executive for small-scale irrigation development,
executive for statistical data dissemination and access,
executive for study and standardization,
executive for tourism attraction and product development,
executive for tourist facility construction and infrastructure expansion,
"executive for urban management, finance and service",
executive for urban plan monitoring,
"executive of agricultural research, extension and mechanization regulation",
executive of anti-corruption intelligence and investigation,
executive of asset disposal,
"executive of athlete education, training, and competition",
executive of awards and recognition,
executive of branch coordination,
executive of business statistics,
executive of civil registration data organization and protection,
executive of coffee training center,
"executive of coffee, tea, and spice crop protection",
"executive of coffee, tea, and spice development",
executive of construction management training and competency certification,
executive of cooperative legal service and inspection,
executive of cooperative societies competency certification,
executive of digital health insurance,
executive of energy efficiency assurance and conservation,
executive of foreign nationals service,
Executive of Health Services,
Executive Secretaries and Executive Administrative Assistants,
Executive Secretary,
Exercise Physiologists,
Exercise Trainers and Group Fitness Instructors,
Exhibition Desk Head,
Expeditor,
Expeditor and Maintenance Service Assistant,
Experience Adaptation and Scaling Expert,
Experienced Latin dance and dance instructor,
Experienced repair technician,
Expert Advisor â€“ Healthcare Financing (HCF),
Expert in Communication of Demonstration Plots,
Expert in European Union Cooperation,
Expert in Field Crops and Model Farmer Demonstration Plots,
Expert in Floriculture Protection,
Expert in Floriculture Technology,
Expert in Flower Post-Harvest,
Expert in Flower Seed Improvement and Multiplication,
Expert in Fruit Crop Post-Harvest,
Expert in Fruit Development and Technology,
Expert in Fruit Seed Multiplication,
Expert in Government Finance and International Law Issues,
Expert in International Financial Institutions Cooperation,
Expert in Monitoring and Support of Demonstration Plots,
Expert in Planning and Monitoring,
Expert in Root Crop and Enset Development and Technology,
Expert in Seed Sector Governance,
Expert in Tax Law Issues,
"Expert in Technology Supply, Dissemination, and Distribution",
"Expert in UN Institutions, Climate Change Facility, and Continental Economic Cooperation",
Expert in Vegetable and Spice Development and Technology,
Expert in Vegetable and Spice Post-Harvest,
Expert in Vegetable and Spice Seed Multiplication,
"Expert, Communication and Media",
"Expert, Planning, Project Management & Resource Mobilization",
Experts – EGRA/EGMA (2 coordinators),
Explorations Geologist,
Explosive Ordnance Risk Education (EORE) Project Supervisor,
Explosive Ordnance Risk Education Facilitators,
"Explosives Workers, Ordnance Handling Experts, and Blasters",
Expo / ReactNative Mobile Developer,
Expo and Bazaar Assistant,
Export and Documentation Officer,
Export and Import Documentation Officer,
Export and Import Officer/Manager,
Export and Marketing Officer,
Export Coffee Taster,
Export Coordinator/Manager,
Export Department Manager,
Export Development Officer,
Export Division Head,
Export Division Manager,
Export Documentation and Customer Service Officer,
Export Documentation Coffee and Oilseed,
Export Documentation Junior Expert,
Export Documentation Officer,
Export Finance Head,
Export Lead,
Export Logistics (Operation) Officer,
Export Logistics and Coffee Quality Supervisor,
Export Machine Operator,
Export Manager,
Export Manager – Coffee Division,
Export Marketing,
Export Officer,
Export Operation Officer,
Export Processing Zones,
Export Sales & Marketing Officer,
Export Sales Team Leader,
Export Sourcing,
Export Supervisor,
Export Trade Promotion,
Export Trade Promotion and Trade Facilitation,
export trade transaction,
Export Trading / Export Manager,
Export Transit Officer,
Exporter of Coffee and/or Oilseeds or Grains,
Expression of Interest for Payroll Software,
Exquisitely Professional Restaurant Manager,
extension communication capacity building specialist,
extension communication specialist,
extension content preparation and review specialist,
extension development partner relations,
extension partner relations specialist,
extension training specialist,
Extension Worker,
External and Internal Sales Person,
External Audit,
external collaborators,
external debt,
External Real estate sales,
external relations and communication affairs expert,
External Relations Officer,
External Training Officer,
External/Internal Vacancy for Social Projects coordinator,
"extraction workers, all other",
Extruder Machine Operator,
"extruding and drawing machine setters, operators, and tenders, metal and plastic",
"extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",
"extruding, forming, pressing, and compacting machine setters, operators, and tenders",
Eye Glass Sales,
"eye, cornea, and amniotic membrane donation and counseling specialist",
"eye, eye lens, and fetal membrane donation and advisory expert",
Eye-Health Technical,
F & B controller,
F & B manager,
F and B controller and restaurant supervisor,
F and B Cost Controller,
fabric and apparel patternmakers,
Fabric Cutter and Designer,
facade design architect,
Facebook & Instagram ads promoter,
Facebook Ad Design,
"Facebook ad, Google ad and ASO Expert",
Facebook and instagram account fixer,
Facebook Boost Manager,
Facebook Comments,
Facebook Marketing,
Facebook Marketplace Seller,
Facebook page Ad feedback,
Facial and nail technician,
Facial for beauty salon,
Facial mask,
Facial Therapist,
Facialist,
Facilitate Custodian,
Facilitator,
Facilities Maintenance Officer,
facilities management,
Facilities manager,
facilities managers,
facility care and management,
"facility construction, maintenance and management",
Facility Custodian,
Facility Engineering Head,
Facility Head,
facility maintenance contract management expert,
Facility management and General service,
Facility Officer,
Facility Service Department Manager,
factories and machinery notification and licensing expert,
Factory & Operations Manager (Agrifoods),
Factory & Quarry Spare Parts Procurement,
Factory & Quarry Spare Parts Procurement and Control Expert,
Factory adminstration officer,
factory and machinery notification and licensing,
factory and machinery regulatory control,
factory and machinery regulatory control inspection and law enforcement,
factory and machinery regulatory control inspection and law enforcement expert,
Factory assistant,
Factory coordinator,
Factory Cost Accountant,
Factory Electrician,
Factory Finance Lead,
Factory General Manager,
Factory labor,
Factory Machine Operator,
Factory operator,
Factory Planning Executive,
factory products quality control inspector,
Factory Security Officer,
Factory Supervisor /FS/,
Factory/Production Manager,
fair recruitment,
"family and consumer sciences teachers, postsecondary",
family benefits,
family health,
family medicine,
family medicine physicians,
Family Model Child Care Program Manager,
Family Planning Advisor,
Family Psychologist,
Family Registration,
family registration correction and replacement evidence,
family registration correction and substitute evidence issuance,
Family Registration Data Management,
"Family Registration Support, Monitoring, and Evaluation",
Family Social,
Family Strengthening Program Manager,
Farm Administration & Finance Officer,
Farm and Home Management Educators,
Farm and Horticulture Investment Product Marketing,
Farm Capo,
Farm Equipment Mechanics and Service Technicians,
Farm Equipment Monitoring and Control,
Farm Forman,
Farm Investment Product Marketing Expert,
Farm Labor Contractors,
Farm Machinery Mechanic,
Farm manager,
Farm Operations Management Expert,
Farm Planning and Monitoring Officer,
Farm Procurement Sourcer,
Farm Site Operations Manager,
Farm Sourcing,
Farm Supervisor,
Farm Surveyor,
Farm Tools Team Leader,
Farm Tools Utilization,
Farmer Organizations Advisor,
"Farmers, Ranchers, and Other Agricultural Managers",
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",
"Farmworkers, Farm, Ranch, and Aquacultural Animals",
Fashion design assistance Techer and office receptionist,
Fashion design trainer,
Fashion Designer,
Fashion designer and pattern Maker,
Fashion designer and printing,
Fashion Designer Assistant,
Fashion Designer Show Room Sales,
Fashion Designer/Tailor,
Fashion Designers,
Fashion event coordinator,
Fashion jewelry sales,
Fashion model,
Fashion stylist,
Fast Amharic writer,
Fast English & Amharic Typist,
Fast Food and Counter Workers,
Fast Food Chief,
Fast food supervisor,
Fattening and Fodder Service Team Leader,
Fattening Unit,
FCDO Programme and Partnership Advisor (supported Project of BRC/NLRC TA),
FCRM Itern,
Feasibility and Financial Analyst (Beginner to MidLevel),
Feasibility Financial Analyst,
Feasibility report/Marketer,
Feasibility study and private sector development researcher,
Feasibility study Expert,
Feature Film Concept Artist,
Federal Institutions and Regional Relations Monitoring and Support,
Federal Institutions Monitoring and Support,
"Federal Institutions Plan Preparation, Monitoring and Evaluation Expert",
"Federal Institutions Planning, Monitoring and Evaluation",
federal police affairs international relations executive,
"federal registration institutions support, monitoring, and evaluation",
federalism and democracy,
federalism and democracy desk head,
federalism and intergovernmental relations lead executive,
feed development extension specialist,
Feed Mill Officer,
feed processing facilities extension expert,
feed processing plant operator,
feed resource development lead executive,
Feet management system developers,
Fellowship Opportunity,
fence erectors,
fertilizer chemist,
fertilizer efficacy evaluation specialist,
fertilizer environmental risk analysis specialist,
fertilizer health risk analysis specialist,
fertilizer inspector,
fertilizer management specialist,
fertilizer quality analyst,
FFMPEG Developer,
Fiber Optic and Transmission Manager,
Fiber Optic Technician,
Fiber Optics Installation,
Fiber Optics Rigger,
Fiber Producer,
Fiber Splicer,
fiberglass laminators and fabricators,
Fiberglass Technician,
Field Admin and Finance Officer,
Field Admin Officer,
Field Agent,
Field and Projects Coordinator,
Field Auto Mechanic,
Field Cameraman,
Field Communications Officer,
Field Coordinator,
Field Data Quality Assurance Expert,
Field Electrical Engineer,
Field Engineer,
Field Epidemiologist,
Field Epidemiology Resident TA,
Field Facilitator,
Field Finance & Admin Officer,
Field Finance & Administration Officer,
Field Finance Coordinator,
Field Finance Positions - Roaster,
Field Force Supervisor,
Field GBV Program Manager,
Field Health Program Manager,
Field Logistics Officer,
Field Manager,
Field Marketer,
Field Marketing and Sales For Software Company,
Field mechanic,
Field Monitor Assistant,
Field Office Finance and Accounts Specialist,
Field Office Gender Officer,
Field Offices Structure,
Field Operations Technical Coordination Desk Head,
Field Pharmacist,
Field Program Coordinator,
Field Program Implementation Lead,
Field reporter,
Field Research,
Field Research Facilitators and Coordinators,
Field Researcher,
Field Safety and Security Officer,
Field sales & Designer,
Field sales agent,
Field Sales and Project,
Field Sales for Download Application,
Field sales for real estate,
Field Sales Force,
Field Sales Officer,
Field Security,
