Informal Works in English,Profession  in Amharic,Professional / Informal,sector,sub sector
Director/Script Writer,ዳይሬክተር / ስክሪፕት ጸሐፊ,P,,
"Director,strategy & business development","ዳይሬክተር, ስትራቴጂ እና የንግድ ልማት",P,,
"Director, Strategy, Research and Development Directorate","ዳይሬክተር, ስትራቴጂ, ምርምር እና ልማት ዳይሬክቶሬት",P,,
"Director, Student Support and Alumni Services","ዳይሬክተር, የተማሪ ድጋፍ እና የቀድሞ ተማሪዎች አገልግሎቶች",P,,
"Director, Supply Chain Management","ዳይሬክተር, የአቅርቦት ሰንሰለት አስተዳደር",P,,
"Director, Trade and Investment Promotion Dept",የንግድ እና ኢንቨስትመንት ማስፋፊያ ዲሬክተር,P,,
"Director, Trade Fair & Investment Management Department","ዳይሬክተር, የንግድ ትርዒት ​​እና ኢንቨስትመንት አስተዳደር መምሪያ",P,,
"Director, Training and Consultancy Office","ዳይሬክተር, ስልጠና እና አማካሪ ቢሮ",P,,
"Director, Treasurer","ዳይሬክተር, ገንዘብ ያዥ",P,,
"Director, Underwriting & Branches Operations",ዳይሬክተር ፣ የፅህፈት መሳሪያ እና የቅርንጫፍ ስራዎች,P,,
Direct Sales Agent (DSA),ቀጥተኛ የሽያጭ ወኪል (DSA),U,,
Direct to garment printing services,በቀጥታ ወደ ልብስ ማተሚያ አገልግሎቶች,U,,
Disability and Inclusion Officer,የአካል ጉዳት እና ማካተት መኮንን,U,,
Disaster Risk Management Officer,የአደጋ ስጋት አስተዳደር ኦፊሰር,P,,
Disaster Risk Reduction and Resilience Coordinator,የአደጋ ስጋት ቅነሳ እና የመቋቋም አስተባባሪ,P,,
Disbursement & Collection Division Head,የወጪ እና የስብስብ ክፍል ኃላፊ,P,,
"Disbursement ,Collection & Follow Up Division Head",የወጪ፣ የስብስብ እና ክትትል ክፍል ኃላፊ,P,,
Disbursement Section Head,የክፍያ ክፍል ኃላፊ,P,,
Dish Maintenance,የዲሽ ጥገና,P,,
Dispatch Agent,የመላኪያ ወኪል,U,,
Dispatcher and Marketer,ላኪ እና ማርኬተር,P,,
Dispatcher / callcenter Agent,አስተላላፊ / የጥሪ ማእከል ወኪል,P,,
Dispatcher/call operator Company: Awra delivery plc,አስተላላፊ/ጥሪ ኦፕሬተር ድርጅት፡ አውራ መላኪያ ኃ.የተ.የግ.ማ,P,,
Dispatch officer and operator for call center,ለጥሪ ማእከል የመላኪያ መኮንን እና ኦፕሬተር,P,,
Dispatch Officer (Unpaid Internship),የመላኪያ ኦፊሰር,P,,
Dispensary Pharmacist,የማከፋፈያ ፋርማሲስት,P,,
"Disposable Product (Food box, Cups, Spoon, Fork) Retailers and Distributors",ሊጣል የሚችል ምርት (የምግብ ሳጥን፣ ኩባያዎች፣ ማንኪያ፣ ሹካ) ቸርቻሪዎች እና አከፋፋዮች,U,,
Dispute and Reconciliation Officer,የክርክር እና የእርቅ ኦፊሰር,U,,
Distance Education Division Program Department Head,የርቀት ትምህርት ክፍል ፕሮግራም መምሪያ ኃላፊ,P,,
Distribution and Logistics Expert (m/f),የስርጭት እና የሎጂስቲክስ ባለሙያ (ሜ/ረ),P,,
Distribution Business Manager,የስርጭት ንግድ ሥራ አስኪያጅ,P,,
Distribution Coordinator,የስርጭት አስተባባሪ,P,,
Distribution Department Supervisor,የስርጭት ክፍል ተቆጣጣሪ,P,,
distribution manager,የስርጭት አስተዳዳሪ,P,,
Distribution Services Manager,የስርጭት አገልግሎቶች አስተዳዳሪ,P,,
Distribution & Stock Controller,የስርጭት እና የአክሲዮን ተቆጣጣሪ,P,,
District Audit Manager II,የዲስትሪክት ኦዲት ሥራ አስኪያጅ II,P,,
District Credit Analysis and Appraisal Officer,የዲስትሪክት ክሬዲት ትንተና እና ግምገማ ኦፊሰር,P,,
District Credit Analyst to Addis Ababa District Office - Re-advertised,የዲስትሪክት ብድር ተንታኝ ለአዲስ አበባ ዲስትሪክት ጽሕፈት ቤት,P,,
District Credit Officer,የወረዳ ክሬዲት ኦፊሰር,P,,
District Credit Recovery Officer for Jimma District Office,ወረዳ ጽ/ቤት የዲስትሪክት ብድር ማግኛ ኦፊሰር,P,,
District Customer Relationship Manager II,የዲስትሪክቱ የደንበኞች ግንኙነት ሥራ አስኪያጅ II,P,,
District Digital Banking Manager,የዲስትሪክት ዲጂታል ባንኪንግ ሥራ አስኪያጅ,P,,
District HR Business Partnering Officer,የዲስትሪክት የሰው ኃይል ንግድ አጋርነት ኦፊሰር,P,,
District IFB Business Manager,የዲስትሪክት IFB የንግድ ሥራ አስኪያጅ,P,,
District IT Officer,የዲስትሪክት IT ኦፊሰር,P,,
District Junior Accountant,የዲስትሪክቱ ጁኒየር አካውንታንት,P,,
District Junior Auditor,የዲስትሪክቱ ጁኒየር ኦዲተር,P,,
District Maintenance Technician,የዲስትሪክት ጥገና ቴክኒሻን,P,,
District Manager,የወረዳ አስተዳዳሪ,P,,
District Operation Officer,የዲስትሪክት ኦፕሬሽን ኦፊሰር,P,,
District Planning and Monitoring Officer,የዲስትሪክት እቅድ እና ክትትል ኦፊሰር,P,,
District Program Officers,የዲስትሪክት ፕሮግራም ኦፊሰሮች,P,,
District Security Officer,የዲስትሪክቱ የደህንነት ኃላፊ,P,,
District Study Coordinators,የዲስትሪክት ጥናት አስተባባሪዎች,P,,
District System Administrator,የዲስትሪክት ስርዓት አስተዳዳሪ,P,,
District Talent Acquisition Officer,የዲስትሪክት ተሰጥኦ ማግኛ መኮንን,P,,
District TB Officer (DTO) for TB Project from Expertise France,የዲስትሪክት ቲቢ ኦፊሰር (DTO) ለቲቢ ፕሮጀክት ከባለሙያ ፈረንሳይ,P,,
District Valuator (Maker/Checker),የዲስትሪክት ዋጋ ሰሪ (ሰሪ/ማረጋገጫ),P,,
District Valuator -Maker-Checker,የዲስትሪክት ቫልዩተር - ሰሪ-ቼከር,P,,
Electrical Maintenance,የኤሌክትሪክ ጥገና,P,,
Division General Service,ክፍል አጠቃላይ አገልግሎት,P,,
"Division Head, Cost & Budget Control","ክፍል ኃላፊ, ወጪ እና የበጀት ቁጥጥር",P,,
"Division Head, General Accounts & Cash Management","ክፍል ኃላፊ, አጠቃላይ መለያዎች እና የገንዘብ አስተዳደር",P,,
"Division Manager, Fleet Dispatch & Operation",ክፍል አስተዳዳሪ፣ ፍሊት መላኪያ እና ኦፕሬሽን,P,,
Division Manager for Under Legal Service Directorate.,የህግ አገልግሎት ስር ዳይሬክቶሬት ክፍል አስተዳዳሪ.,P,,
"Division Manager, Share Sales Project","ክፍል አስተዳዳሪ, አጋራ የሽያጭ ፕሮጀክት",P,,
Division Vice Director,ክፍል ምክትል ዳይሬክተር,P,,
Dj,ዲጄ,P,,
Django and Angular developer,የጃንጎ እና አንግል ገንቢ,P,,
Django and React developer,Django እና React ገንቢ,P,,
Django Backend Developer,Django Backend ገንቢ,P,,
Django programmer,የጃንጎ ፕሮግራሞች,P,,
Django Rest Framework developer,የጃንጎ ዕረፍት ማዕቀፍ ገንቢ,u,,
Django Vue js and REST API developer,Django Vue js እና REST API ገንቢ,u,,
Django Web developer,የጃንጎ ድር ገንቢ,u,,
DJ / music mix,ዲጄ,p,,
Doccumantation Clerk,የሰነድ ጸሐፊ,P,,
Doctor,ዶክተር,P,,
Documentary Film Script Writer,ዘጋቢ ፊልም ስክሪፕት ጸሐፊ,P,,
አስመጪና ላኪ documentation,አስመጪና ላኪ ሰነዶች,P,,
Documentation and Data Entry Officer,የሰነድ እና የውሂብ ማስገቢያ ኦፊሰር,P,,
Documentation officer and IT specialist,የሰነድ ኦፊሰር እና የአይቲ ባለሙያ,P,,
Documentation & Record Officer,ሰነድ እና መዝገብ ኦፊሰር,P,,
Documentation Specialist for a Visa Consultancy,ለቪዛ አማካሪ ሰነድ ባለሙያ,P,,
documentation specialist for foreign employment agency,የውጭ አገር ሥራ ስምሪት ኤጀንሲ የሰነድ ባለሙያ,P,,
Document Controller,የሰነድ መቆጣጠሪያ,P,,
Document Custodian - Archive,የሰነድ ጠባቂ - መዝገብ ቤት,P,,
Document design,የሰነድ ንድፍ,P,,
Document Specialist / Project Management Assistant,የሰነድ ስፔሻሊስት / የፕሮጀክት አስተዳደር ረዳት,P,,
Documents translator,ሰነዶች ተርጓሚ,P,,
Dog care taker,የውሻ ጠባቂ,I,,
Doing the finishing of a website and application,የድር ጣቢያ እና መተግበሪያን ማጠናቀቅን በማከናወን ላይ,P,,
Doodle Video Creator Freelance,Doodle ቪዲዮ ፈጣሪ ፍሪላንስ,P,,
Door access control installation and configuration professional,የበር መዳረሻ መቆጣጠሪያ መጫኛ እና ውቅር ባለሙያ,P,,
Door access control technician,የበር መግቢያ መቆጣጠሪያ ቴክኒሻን,P,,
Door to Door business sales Agent (B2B),ከቤት ወደ ቤት የንግድ ሽያጭ ወኪል (B2B),P,,
Doortodoor marketing internship(unpaid internship),የቤት ለቤት ግብይት ልምምድ(ያልተከፈለ የስራ ልምምድ),U,,
Door tp Door Technology Sales,በር tp በር ቴክኖሎጂ ሽያጭ,P,,
DOP/Cinematographer,DOP / ሲኒማቶግራፈር,P,,
D/Operation Manager,መ / ኦፕሬሽን ሥራ አስኪያጅ,P,,
Dot net desktop app and windows service developer,ዶት ኔት ዴስክቶፕ መተግበሪያ እና የዊንዶውስ አገልግሎት ገንቢ,P,,
Double Drum & Pnumatic Roller Operator,ድርብ ከበሮ እና Pnumatic ሮለር ኦፕሬተር,P,,
Double Facer Machine Operator,ድርብ የፊት ማሽን ኦፕሬተር,P,,
Dozer Operator,ዶዘር ኦፕሬተር,P,,
DPR Information Management Officer,DPR የመረጃ አስተዳደር ኦፊሰር,P,,
DQI & DU Mentor,DQI እና DU አማካሪ,P,,
Drafting and BOQ expert,ረቂቅ እና የBOQ ባለሙያ,P,,
Drafting and structural engineer,ረቂቅ እና መዋቅራዊ መሐንዲስ,P,,
Drafting and surveying,ረቂቅ እና የዳሰሳ ጥናት,P,,
Drafting /CAD Technician,ረቂቅ / CAD ቴክኒሽያን,P,,
Drafting contracts,ኮንትራቶችን ማዘጋጀት,P,,
Draftsman for structural drawing's,ለመዋቅራዊ ሥዕል ንድፍ አውጪ,p,,
DRA Project Manager,DRA ፕሮጀክት አስተዳዳሪ,p,,
Drawing,መሳል,u,,
Dr.Dental/Therapy,ዶክተር የጥርስ ህክምና / ህክምና,p,,
"Drilling, Pump testing & Construction Manager",ቁፋሮ ፣ የፓምፕ ሙከራ እና የግንባታ ሥራ አስኪያጅ,p,,
Drinking Cocktail Specialist,የመጠጥ ኮክቴል ስፔሻሊስት,p,,
driver,ሹፌር,p,,
Driver and Logistics Assistance,የአሽከርካሪ እና የሎጂስቲክስ እገዛ,p,,
driver for personal driving lessons,ለግል የመንዳት ትምህርቶች ሹፌር,p,,
Driver/ Mechanic,ሹፌር / መካኒክ,p,,
Driver Tour Guide,የመንጃ ጉብኝት መመሪያ,p,,
Driver trainer,የአሽከርካሪ አሰልጣኝ,p,,
drone camera man,drone ካሜራ ሰው,p,,
Drone & Drone operator,ድሮን እና ድሮን ኦፕሬተር,p,,
Drone flight tester,ድሮን የበረራ ሞካሪ,p,,
Drone for rent,ድሮን ለኪራይ,,,
Drone pilot,አውሮፕላን አብራሪ,p,,
Dropshipping Expert(Shopify),የማጓጓዣ ባለሙያ (ሸመታ),u,,
druggist,የመድሃኒት ባለሙያ,p,,
Druggist/ Pharmaceutical Product Supply Chain Officer,የመድኃኒት ባለሙያ/ የመድኃኒት ምርት አቅርቦት ሰንሰለት ኦፊሰር,p,,
Drug Warehouse Manager,የመድኃኒት ማከማቻ ሥራ አስኪያጅ,p,,
Drummer,ከበሮ መቺ,U,,
Drupal developer,Drupal ገንቢ,U,,
Drupal Site studio developer,Drupal Site ስቱዲዮ ገንቢ,U,,
Dryland Agriculture Advisor,የደረቅ መሬት ግብርና አማካሪ,P,,
"DSG, Membership Affairs & Communication",DSG፣ የአባልነት ጉዳዮች እና ኮሙኒኬሽን,P,,
DTM Database Assistant,DTM የውሂብ ጎታ ረዳት,P,,
Dump Truck contract work,የቆሻሻ መኪና ኮንትራት ሥራ,U,,
Duolingo English Test tutor,Duolingo የእንግሊዝኛ ፈተና አስተማሪ,P,,
Dupt project manager,የፕሮጀክት አስተዳዳሪ,P,,
Durable Solutions Analyst – Programme Management & Operations,ዘላቂ መፍትሄዎች ተንታኝ - የፕሮግራም አስተዳደር እና ኦፕሬሽኖች,P,,
Durable Solutions Specialist,ዘላቂ መፍትሄዎች ስፔሻሊስት,P,,
Dutch (German ) teacher,የደች (ጀርመንኛ) መምህር,P,,
Dutch (holland ) language teacher,የደች (ሆላንድ) ቋንቋ መምህር,P,,
Dutch (netherland ) part time teacher,ደች (ኔዘርላንድ) የትርፍ ሰዓት መምህር,P,,
Duty Free Representative Salesperson Airport,ከቀረጥ ነፃ ተወካይ ሻጭ አየር ማረፊያ,P,,
DVM Officer I,የዲቪኤም ኦፊሰር I,P,,
"Eagle point, Auto cad & Arci cad (part time) teacher",የንስር ነጥብ፣ አውቶካድ እና አርሲ ካድ (የትርፍ ጊዜ) መምህር,P,,
EAR Assistant Finance Director – World Vision Ethiopia,የኢአር ረዳት ፋይናንስ ዳይሬክተር - ወርልድ ቪዥን ኢትዮጵያ,P,,
Early Recovery Project Coordinator,ቀደምት የማገገሚያ ፕሮጀክት አስተባባሪ,P,,
Early Warning Officer,ቅድመ ማስጠንቀቂያ መኮንን,P,,
Earth work Foreman,የመሬት ሥራ ፎርማን,P,,
Earthwork Superintenden,የመሬት ስራ ሱፐርኢንቴንደን,P,,
Earth work Superintendent,የመሬት ሥራ ተቆጣጣሪ,P,,
E-Banking Settlement & Reconciliation Officer I,ኢ-ባንኪንግ የሰፈራ እና እርቅ ኦፊሰር I,P,,
Ebirr operators,የኤቢር ኦፕሬተሮች,P,,
ECCE Creative Production Specialist,ECCE የፈጠራ ምርት ስፔሻሊስት,P,,
ECHO Project Manager,ECHO ፕሮጀክት አስተዳዳሪ,P,,
ECOMMERCE ACCOUNT MANAGER,የኢኮሜርስ መለያ አስተዳዳሪ,P,,
e commerce App developer,ኢ ንግድ መተግበሪያ ገንቢ,P,,
Ecommerce App developer(Flutter),የኢኮሜርስ መተግበሪያ ገንቢ(Flutter),P,,
eCommerce Assistant Marketer,የኢኮሜርስ ረዳት ገበያተኛ,P,,
ecommerce commission agents(sales agent),የኢኮሜርስ ኮሚሽን ወኪሎች (የሽያጭ ወኪል),P,,
Ecommerce deputy director,የኢኮሜርስ ምክትል ዳይሬክተር,P,,
Ecommerce Finance Manager,የኢኮሜርስ ፋይናንስ አስተዳዳሪ,P,,
Ecommerce mobile app and web admin panel developer,የኢኮሜርስ ሞባይል መተግበሪያ እና የድር አስተዳዳሪ ፓነል ገንቢ,P,,
Ecommerce software Project manager,የኢኮሜርስ ሶፍትዌር ፕሮጀክት አስተዳዳሪ,P,,
Ecommerce Technology Expert,የኢኮሜርስ ቴክኖሎጂ ባለሙያ,P,,
Ecommerce website and app developer,የኢኮሜርስ ድር ጣቢያ እና መተግበሪያ ገንቢ,P,,
Ecommerce Website Seo Expert,የኢኮሜርስ ድር ጣቢያ ሲኦ ኤክስፐርት,P,,
Econometrician,የምጣኔ ሀብት ባለሙያ,P,,
Econometrics,ኢኮኖሚክስ,P,,
Econometrics analysis,የኢኮኖሚክስ ትንተና,P,,
Econometrics Tutor,ኢኮኖሚክስ አስተማሪ,P,,
Economic Development Specialist(SG&amp;MIS),የኢኮኖሚ ልማት ባለሙያ(SG&MIS),P,,
Economic Empowerment Officer,የኢኮኖሚ ማጎልበት ኦፊሰር,P,,
Economic Policy Advisor,የኢኮኖሚ ፖሊሲ አማካሪ,P,,
Economics and Business Management,ኢኮኖሚክስ እና የንግድ አስተዳደር,P,,
Economist with good microeconomics background,ጥሩ የማይክሮ ኢኮኖሚክስ ዳራ ያለው ኢኮኖሚስት,P,,
ECSO Council Secretariat Director,የECSO ካውንስል ሴክሬታሪያት ዳይሬክተር,P,,
ECX Purchase Officer,ECX የግዢ ኦፊሰር,P,,
ECX TRADING EXPERT,ECX ትሬዲንግ ኤክስፐርት,P,,
ECX Warehouse Agent,ECX መጋዘን ወኪል,P,,
Editor and Graphics designer,አርታዒ እና ግራፊክስ ዲዛይነር,P,,
Editor and Writer,አርታዒ እና ጸሐፊ,P,,
Editorial and Education Quality Assurance Officer,የኤዲቶሪያል እና የትምህርት ጥራት ማረጋገጫ ኦፊሰር,P,,
Editorial research Intern,የኤዲቶሪያል ምርምር Intern,P,,
Educational and promotional video Host,ትምህርታዊ እና የማስተዋወቂያ ቪዲዮ አስተናጋጅ,P,,
Educational content creator,የትምህርት ይዘት ፈጣሪ,P,,
Educational Director,የትምህርት ዳይሬክተር,P,,
Education and Child Protection in Emergencies (EiE and CP) Zonal Program Coordinator,ትምህርት እና የህጻናት ጥበቃ በድንገተኛ አደጋዎች (EiE እና CP) የዞን ፕሮግራም አስተባባሪ,P,,
Education and Child Protection Program Manager,የትምህርት እና የልጆች ጥበቃ ፕሮግራም አስተዳዳሪ,P,,
Education and Gender Officer,የትምህርት እና የሥርዓተ-ፆታ ኦፊሰር,P,,
Education and Life skills Technical Program Coordinator,የትምህርት እና የህይወት ክህሎቶች የቴክኒክ ፕሮግራም አስተባባሪ,P,,
Education and Outreach Specialist,የትምህርት እና የማዳረስ ባለሙያ,P,,
Education Cluster Information Management Specialist,የትምህርት ክላስተር መረጃ አስተዳደር ስፔሻሊስት,P,,
Education in Emergency Coordinator,ትምህርት በድንገተኛ አደጋ አስተባባሪ,P,,
Education in Emergency EIE Project Officer,ትምህርት በድንገተኛ የኢኢኢ ፕሮጀክት ኦፊሰር,P,,
Education in Emergency Project MEAL Officer,ትምህርት በድንገተኛ አደጋ ፕሮጀክት የምግብ ኦፊሰር,P,,
"Education, Publication & Communication Expert",የትምህርት፣ የህትመት እና የግንኙነት ባለሙያ,P,,
Education Technical Assistant,የትምህርት ቴክኒካል ረዳት,P,,
Education & Visa Consultancy Manager,የትምህርት እና ቪዛ አማካሪ አስተዳዳሪ,P,,
Effective Marketing Manager,ውጤታማ የግብይት አስተዳዳሪ,P,,
efficient c++ programmer,ውጤታማ c ++ ፕሮግራመር,P,,
EH Program Assistant,የኢኤች ፕሮግራም ረዳት,P,,
EHS Compliance Officer,የኢኤችኤስ ተገዢነት ኦፊሰር,P,,
EHS Manager,EHS አስተዳዳሪ,P,,
Elderly Care and Support Center Manger,የአረጋውያን እንክብካቤ እና ድጋፍ ማእከል አስተዳዳሪ,P,,
Elearning Website Developer,የElearning ድር ጣቢያ ገንቢ,P,,
Election Dispute Resolution (EDR) Expert,የምርጫ ክርክር አፈታት (ኢዲአር) ባለሙያ,P,,
Election Legal Affairs and Case Management Expert,የምርጫ የህግ ጉዳዮች እና የጉዳይ አስተዳደር ኤክስፐርት,P,,
Election Operation Desk Expert,የምርጫ ኦፕሬሽን ዴስክ ኤክስፐርት,P,,
Election Operations Expert,የምርጫ ኦፕሬሽን ኤክስፐርት,P,,
Electrical and Automation maintenance Section head,የኤሌክትሪክ እና አውቶሜሽን ጥገና ክፍል ኃላፊ,P,,
Electrical and Automation Technician,የኤሌክትሪክ እና አውቶሜሽን ቴክኒሻን,P,,
Electrical and computer engineer,የኤሌክትሪክ እና የኮምፒውተር መሐንዲስ,P,,
Electrical and Electronics Engineer,የኤሌክትሪክ እና የኤሌክትሮኒክስ መሐንዲስ,P,,
Electrical and Instrument Technician CUM Machinery Attendant,የኤሌክትሪክ እና የመሳሪያ ቴክኒሻን CUM ማሽነሪ ረዳት,P,,
Electrical and Sanitary Design Engineer,የኤሌክትሪክ እና የንፅህና ዲዛይን መሐንዲስ,P,,
Electrical & Automation Engineer,የኤሌክትሪክ እና አውቶሜሽን መሐንዲስ,P,,
Electrical/computer Engineering,የኤሌክትሪክ / የኮምፒውተር ምህንድስና,P,,
Electrical Designer & Quality Control Expert,የኤሌክትሪክ ዲዛይነር እና የጥራት ቁጥጥር ባለሙያ,P,,
Electrical design tutorial,የኤሌክትሪክ ንድፍ አጋዥ ስልጠና,P,,
Electrical Engineer and Electro mechanical engineer,የኤሌክትሪክ መሐንዲስ እና ኤሌክትሮ ሜካኒካል መሐንዲስ,P,,
Electrical Engineer For Circuit Design Project,የኤሌክትሪክ መሐንዲስ ለወረዳ ንድፍ ፕሮጀክት,P,,
Electrical Engineer (Project Manager),የኤሌክትሪክ መሐንዲስ (የፕሮጀክት ሥራ አስኪያጅ),P,,
Electrical industrial plan design for Ethiopia Electric power corporation.,ለኢትዮጵያ ኤሌክትሪክ ኃይል ኮርፖሬሽን የኤሌክትሪክ ኢንዱስትሪ ፕላን ዲዛይን,P,,
Electrical Maintenance Technicians-CM,የኤሌክትሪክ ጥገና ቴክኒሻኖች-CM,P,,
Electrical Section Head,የኤሌክትሪክ ክፍል ኃላፊ,P,,
Electrical Site Engineer,የኤሌክትሪክ ጣቢያ መሐንዲስ,P,,
Electrical/Telecom Engineers,የኤሌክትሪክ / የቴሌኮም መሐንዲሶች,P,,
Electric Distribution Material Warehouse storekeeper,የኤሌክትሪክ ማከፋፈያ ቁሳቁስ መጋዘን ማከማቻ ጠባቂ,I,,
Electrician and plumber,የኤሌክትሪክ እና የቧንቧ ሰራተኛ,P,,
Electric motor rewinding technician,የኤሌክትሪክ ሞተር ማዞሪያ ቴክኒሻን,P,,
Electromechanical and Computer Science Internship,ኤሌክትሮሜካኒካል እና የኮምፒውተር ሳይንስ ልምምድ,P,,
Electro Mechanical Asset Valuator,ኤሌክትሮ ሜካኒካል ንብረት ቫልዩተር,P,,
Electro- Mechanical Assistant Section Head,ኤሌክትሮ-ሜካኒካል ረዳት ክፍል ኃላፊ,P,,
Electro-Mechanical Consultant,ኤሌክትሮ-ሜካኒካል አማካሪ,P,,
Electro mechanical Engineer Tender Analyst,ኤሌክትሮ ሜካኒካል መሐንዲስ ጨረታ ተንታኝ,P,,
Electromechanical Expert,የኤሌክትሮ መካኒካል ባለሙያ,P,,
Electro Mechanical/General Technician,ኤሌክትሮ ሜካኒካል / አጠቃላይ ቴክኒሻን,P,,
Electronic Communication and Multimedia Trainer (ECM Trainer),የኤሌክትሮኒክስ ኮሙኒኬሽን እና መልቲሚዲያ አሰልጣኝ (ECM አሰልጣኝ),P,,
Electronic Marketing Electronic Auction and Platform Marketing Agent,የኤሌክትሮኒክስ ግብይት ኤሌክትሮኒክ ጨረታ እና መድረክ ግብይት ወኪል,P,,
Electronic music DJ,ኤሌክትሮኒክ ሙዚቃ ዲጄ,P,,
Electronic Procurement System Support,የኤሌክትሮኒክስ ግዢ ስርዓት ድጋፍ,P,,
Electronic Tax Declaration Support and Monitoring Specialist,የኤሌክትሮኒክ የታክስ መግለጫ ድጋፍ እና ክትትል ስፔሻሊስት,P,,
Electronic Waste Manager,የኤሌክትሮኒክስ ቆሻሻ ሥራ አስኪያጅ,P,,
Elevator Attendant( Operator ),አሳንሰር ረዳት,U,,
Elevator Installer / Installation Technician,አሳንሰር ጫኚ / የመጫኛ ቴክኒሽያን,U,,
Elevator/Lift Maintenance Technician,ሊፍት/ሊፍት የጥገና ቴክኒሻን,P,,
Email Creator,ኢሜል ፈጣሪ,P,,
"Email marketer, Blog writer",ኢሜል አሻሻጭ ፣ ብሎግ ፀሐፊ,P,,
EMA IRB Secretary,EMA IRB ጸሐፊ,P,,
Embassy application assistant,የኤምባሲ ማመልከቻ ረዳት,P,,
Embedded Systems Engineer,የተከተተ ሲስተምስ መሐንዲስ,P,,
Embroidery Machin Operator,ጥልፍ ማሽን ኦፕሬተር,P,,
Emergency Agriculture Recovery Officer,የአደጋ ጊዜ የግብርና ማገገሚያ ኦፊሰር,P,,
Emergency and Critical Care Advisor,የአደጋ ጊዜ እና ወሳኝ እንክብካቤ አማካሪ,P,,
Emergency and Critical Care Specialist,የድንገተኛ እና ወሳኝ እንክብካቤ ስፔሻሊስት,P,,
Emergency and Humanitarian Response Project Coordinator,የአደጋ ጊዜ እና የሰብአዊ ምላሽ ፕሮጀክት አስተባባሪ,P,,
Emergency Clinical Officer,የአደጋ ጊዜ ክሊኒካዊ መኮንን,P,,
Emergency Coordinator,የአደጋ ጊዜ አስተባባሪ,I,,
Emergency FSL Officer,የአደጋ ጊዜ ኤፍኤስኤል ኦፊሰር,P,,
Emergency Health and Nutrition Coordinator (Yabello Town),የአደጋ ጊዜ ጤና እና አመጋገብ አስተባባሪ,P,,
Emergency Health and Nutrition Project Coordinator – Mental Health and Nutrition Team (MHNT),የድንገተኛ ጤና እና የተመጣጠነ ምግብ ፕሮጀክት አስተባባሪ - የአእምሮ ጤና እና የተመጣጠነ ምግብ ቡድን (MHNT),P,,
Emergency Health Officer,የአደጋ ጊዜ ጤና መኮንን,P,,
Emergency & Humanitarian Response Team Leader,የአደጋ ጊዜ እና የሰብአዊ ምላሽ ቡድን መሪ,P,,
Emergency Intern,የአደጋ ጊዜ ኢንተር,P,,
Emergency Livelihood Project Coordinator,የአደጋ ጊዜ መተዳደሪያ ፕሮጀክት አስተባባሪ,P,,
Emergency Livelihood Project Officer,የአደጋ ጊዜ ኑሮ ፕሮጀክት ኦፊሰር,P,,
EMERGENCY LOGISTICS OFFICER,የአደጋ ጊዜ ሎጂስቲክስ ኦፊሰር,P,,
Emergency MEAL Coordinator,የአደጋ ጊዜ ምግብ አስተባባሪ,P,,
Emergency Medical Service Coordinator (EMS Coordinator),የድንገተኛ ህክምና አገልግሎት አስተባባሪ (የኢኤምኤስ አስተባባሪ),P,,
Emergency Nutrition Officer,የአደጋ ጊዜ የአመጋገብ ባለሙያ,P,,
Emergency Operation and Information Centre (EOC) Senior Expert,የአደጋ ጊዜ ኦፕሬሽን እና የመረጃ ማዕከል (ኢኦሲ) ከፍተኛ ባለሙያ,P,,
Emergency Preparedness and Response (EPR) Division Manager,የአደጋ ጊዜ ዝግጁነት እና ምላሽ (EPR) ክፍል ሥራ አስኪያጅ,P,,
Emergency Preparedness and Response Manager,የአደጋ ጊዜ ዝግጁነት እና ምላሽ አስተዳዳሪ,P,,
Emergency Program Coordinator,የአደጋ ጊዜ ፕሮግራም አስተባባሪ,P,,
Emergency Project Coordinator,የአደጋ ጊዜ ፕሮጀክት አስተባባሪ,P,,
Emergency Project Officer-(Health),የአደጋ ጊዜ ፕሮጀክት ኦፊሰር-(ጤና),P,,
Emergency Rapid Response/ Environmental Health Manager,የአደጋ ጊዜ ፈጣን ምላሽ/የአካባቢ ጤና አስተዳዳሪ,P,,
Emergency Refugee Camps Accessibility Audit Works,የአደጋ ጊዜ የስደተኞች ካምፖች ተደራሽነት ኦዲት ስራዎች,P,,
Emergency Response Advisor,የአደጋ ጊዜ ምላሽ አማካሪ,P,,
Emergency Response Cluster Coordinator,የአደጋ ጊዜ ምላሽ ክላስተር አስተባባሪ,P,,
Emergency Response Field Coordinator,የአደጋ ጊዜ ምላሽ የመስክ አስተባባሪ,P,,
Emergency Response Manager (WFP),የአደጋ ጊዜ ምላሽ አስተዳዳሪ (WFP),P,,
Emergency Response Multi-Sector Program Manager,የአደጋ ጊዜ ምላሽ ባለብዙ ዘርፍ ፕሮግራም አስተዳዳሪ,P,,
Emergency Supply Chain Management Coordinator,የአደጋ ጊዜ አቅርቦት ሰንሰለት አስተዳደር አስተባባሪ,P,,
Emergency WASH Coordinator,የአደጋ ጊዜ እጥበት አስተባባሪ,U,,
Emergency Wash Officer,የአደጋ ጊዜ ማጠቢያ መኮንን,U,,
Emergency WASH Officer / Engineer,የአደጋ ጊዜ እጥበት ኦፊሰር / መሐንዲስ,P,,
Emergency WASH Officer /Health,የአደጋ ጊዜ እጥበት ኦፊሰር/ጤና,P,,
Emergency WASH project Manager,የአደጋ ጊዜ እጥበት ፕሮጀክት ስራ አስኪያጅ,P,,
