informal work in eng,Profession in Amharic,professional/ formal,sector,sub sector
Ransomware Expert,Ransomware ባለሙያ,P,,
Raw Material and Product keeper,ጥሬ እቃ እና የምርት ጠባቂ,P,,
RBT Operation Manager,የ RBT ኦፕሬሽን ሥራ አስኪያጅ,P,,
REACH Assessment Officer,REACH የግምገማ ኦፊሰር,P,,
REACH Database Officer,REACH የውሂብ ጎታ ኦፊሰር,P,,
REACH Ethiopia Woreda Community TB Coordinator,ይድረስ የኢትዮጵያ ወረዳ ማህበረሰብ ቲቢ አስተባባሪ,P,,
REACH GIS Officer,የጂአይኤስ ኦፊሰር ይድረሱ,P,,
Read Mix Materials Engineer,የድብልቅ ቁሶች መሐንዲስ አንብብ,P,,
Read Mix Production Manager,ድብልቅ ፕሮዳክሽን አስተዳዳሪ,P,,
Reading and Numeracy Experts – EGRA/EGMA (2 coordinators),የንባብ እና የቁጥር ባለሙያዎች - EGRA/EGMA (2 አስተባባሪዎች),U,,
Reading and recording Tanzanian Swahili,ታንዛኒያ ስዋሂሊ ማንበብ እና መቅዳት,U,,
Ready Mix Concrete (RMC) Sales,ዝግጁ ድብልቅ ኮንክሪት (RMC) ሽያጭ,P,,
Ready-Mix Concrete Production Manager,ዝግጁ-ድብልቅ ኮንክሪት ምርት አስተዳዳሪ,P,,
Real Estate Account Manager,ሪል እስቴት መለያ አስተዳዳሪ,P,,
Real estate agent,የሪል እስቴት ወኪል,P,,
Real Estate Agents and Property Managers,የሪል እስቴት ወኪሎች እና የንብረት አስተዳዳሪዎች,P,,
Real Estate Analyst,የሪል እስቴት ተንታኝ,P,,
Real estate customer service and in house sales,የሪል እስቴት የደንበኞች አገልግሎት እና በቤት ውስጥ ሽያጭ,P,,
Real Estate Customer Service Officer,የሪል እስቴት የደንበኞች አገልግሎት ኦፊሰር,P,,
Real Estate Deputy Manager,የሪል እስቴት ምክትል ሥራ አስኪያጅ,P,,
Real estate digital marketing professional,የሪል እስቴት ዲጂታል ግብይት ባለሙያ,P,,
Real Estate Finance Manager,የሪል እስቴት ፋይናንስ ሥራ አስኪያጅ,P,,
Real Estate Leasing Officer,የሪል እስቴት ኪራይ ኦፊሰር,P,,
Real Estate Manager,የሪል እስቴት ሥራ አስኪያጅ,P,,
Real Estate Marketing Head,ሪል እስቴት ማርኬቲንግ ኃላፊ,P,,
Real estate marketing manager,የሪል እስቴት ግብይት አስተዳዳሪ,P,,
Real estate marketing specialist,የሪል እስቴት ግብይት ባለሙያ,P,,
Real Estate Photographer and Videographer,ሪል እስቴት ፎቶ አንሺ እና ቪዲዮ አንሺ,P,,
Real Estate Project HR Administrator,የሪል እስቴት ፕሮጀክት የሰው ኃይል አስተዳዳሪ,P,,
Real Estate Receptionist,ሪል እስቴት ተቀባይ,P,,
Real Estate Resource Manager,ሪል እስቴት ሀብት አስተዳዳሪ,P,,
Real Estate Sale Coordinator,የሪል እስቴት ሽያጭ አስተባባሪ,P,,
Real Estate Sales & Consultant,የሪል እስቴት ሽያጭ እና አማካሪ,P,,
Real Estate Sales Agent consultant,የሪል እስቴት ሽያጭ ወኪል አማካሪ,P,,
Real Estate Sales associates and executives,የሪል እስቴት ሽያጭ ተባባሪዎች እና አስፈፃሚዎች,P,,
Real Estate Sales Freelancer,የሪል እስቴት ሽያጭ ነፃ አውጪ,P,,
Real estate sales supervisor,የሪል እስቴት ሽያጭ ተቆጣጣሪ,P,,
real estate sales surveyor,የሪል እስቴት ሽያጭ ቀያሽ,P,,
Realistic Exterior render,ተጨባጭ ውጫዊ አተረጓጎም,P,,
Reaserch presenter,የጥናት አቅራቢ,P,,
Reasturant manager,የምግብ ቤት አስተዳዳሪ,P,,
Receipt Management Professional,ደረሰኝ አስተዳደር ባለሙያ,P,,
Reception Nurse,መቀበያ ነርስ,P,,
Receptionist and digital marketer,ተቀባይ እና ዲጂታል ገበያተኛ,P,,
Receptionist and Executive Secretary,እንግዳ ተቀባይ እና ሥራ አስፈፃሚ,P,,
Receptionist and facility manager,ተቀባይ እና ፋሲሊቲ አስተዳዳሪ,P,,
Receptionist and waitress,እንግዳ ተቀባይ እና አስተናጋጅ,P,,
Reconciliation Accountant,የማስታረቅ አካውንታንት,P,,
Reconciliation Officer,የእርቅ መኮንን,P,,
Record & Archive,መዝገብ እና መዝገብ,P,,
Record & Archive Management Head,የመዝገብ እና ማህደር አስተዳደር ኃላፊ,P,,
Record & Documentation officer,የመዝገብ እና የሰነድ ኦፊሰር,P,,
Record and Archive Clerk Officer,መዝገብ እና ማህደር ጸሐፊ ኦፊሰር,P,,
Record Clerk,የመዝገብ ጸሐፊ,P,,
Record Management Trainer,የመዝገብ አስተዳደር አሰልጣኝ,P,,
Record Officer,የመዝገብ ኦፊሰር,P,,
Recording and mixing,መቅዳት እና ማደባለቅ,P,,
Recording English phrases,የእንግሊዝኛ ሀረጎችን መቅዳት,U,,
Recording supervisor,ቀረጻ ተቆጣጣሪ,P,,
Recording Tigrinya,ትግርኛ መቅዳት,U,,
Recovery Head Nurse,የማገገሚያ ዋና ነርስ,P,,
Recreation Manager,የመዝናኛ አስተዳዳሪ,P,,
Recreation Supervisor,የመዝናኛ ተቆጣጣሪ,P,,
Recruit Professional -Contact Center,ባለሙያ መመልመል -የእውቂያ ማዕከል,P,,
Recruitment and Placement Division Head,የምልመላ እና ምደባ ክፍል ኃላፊ,P,,
Recycling Machine Operator D.1,እንደገና ጥቅም ላይ ማዋል ማሽን ኦፕሬተር D.1,P,,
Refinery Operator,የማጣራት ኦፕሬተር,P,,
Reforms Advisor,የተሃድሶ አማካሪ,P,,
Refrigeration & Air Conditioning Technician,የማቀዝቀዣ እና የአየር ማቀዝቀዣ ቴክኒሻን,P,,
"Reginal Budget Planning, Posting and Controlling Officer","የመደበኛ በጀት እቅድ ማውጣት, መለጠፍ እና ቁጥጥር ኦፊሰር",P,,
Reginal sales manager / up country,መደበኛ የሽያጭ አስተዳዳሪ / አገር,P,,
Regional Admin and Procurement Officers,የክልል አስተዳዳሪ እና የግዥ ኦፊሰሮች,P,,
Regional Administration & Finance Assistant,የክልል አስተዳደር እና የፋይናንስ ረዳት,P,,
Regional Advisor,የክልል አማካሪ,P,,
Regional Audit Division Manager,የክልል ኦዲት ክፍል ሥራ አስኪያጅ,P,,
Regional Auditor,የክልል ኦዲተር,P,,
Regional Business Development Manager/CBO Assistant,የክልል ንግድ ልማት ሥራ አስኪያጅ/የሲቢኦ ረዳት,P,,
Regional Capacity Building Advisor,የክልል አቅም ግንባታ አማካሪ,P,,
Regional Case identification and Prevention Advisor,የክልል ጉዳይ መለያ እና መከላከያ አማካሪ,P,,
Regional Child Protection Project manager,የክልል የሕፃናት ጥበቃ ፕሮጀክት ሥራ አስኪያጅ,P,,
Regional Child Safeguarding Advisor,የክልል የህጻናት ጥበቃ አማካሪ,P,,
regional cities operators,የክልል ከተሞች ኦፕሬተሮች,P,,
Regional Clinical Advisor,የክልል ክሊኒካዊ አማካሪ,P,,
Regional Coordinator,የክልል አስተባባሪ,P,,
Regional COVID-19 Vaccine Delivery Support (CDS) TA,ክልላዊ የኮቪድ-19 ክትባት አቅርቦት ድጋፍ (ሲዲኤስ) TA,U,,
Regional CX & Service Lead,የክልል CX እና የአገልግሎት መሪ,U,,
Regional Digital Health Technical Specialist,የክልል ዲጂታል ጤና ቴክኒካል ስፔሻሊስት,P,,
Regional Director of Program Operations,የፕሮግራም ኦፕሬሽኖች የክልል ዳይሬክተር,P,,
Regional Early Warning Coordinator,የክልል ቅድመ ማስጠንቀቂያ አስተባባሪ,P,,
Regional Education Project Manager,የክልል ትምህርት ፕሮጀክት ሥራ አስኪያጅ,P,,
Regional Emergency Health & Nutrition Coordinator,የክልል ድንገተኛ ጤና እና የተመጣጠነ ምግብ አስተባባሪ,P,,
Regional EVD and Telebirr Supervisors,የክልል ኢቪዲ እና ቴሌቢር ተቆጣጣሪዎች,P,,
Regional Expert,የክልል ኤክስፐርት,P,,
Regional Field Operations Desk Coordinator,የክልል የመስክ ስራዎች ዴስክ አስተባባሪ,P,,
Regional Finance Coordinator,የክልል ፋይናንስ አስተባባሪ,P,,
Regional Finance Manager,የክልል ፋይናንስ ሥራ አስኪያጅ,P,,
Regional Food Resource Manager,የክልል የምግብ ሀብት ሥራ አስኪያጅ,P,,
Regional Food Response Manager,የክልል የምግብ ምላሽ አስተዳዳሪ,P,,
Regional Grant/Finance Coordinator,የክልል ስጦታ/ፋይናንስ አስተባባሪ,P,,
Regional Head of Sales(North),የክልል የሽያጭ ኃላፊ (ሰሜን),P,,
Regional HIV Care & Treatment Advisor,የክልል የኤችአይቪ እንክብካቤ እና ህክምና አማካሪ,P,,
Regional HPV vaccine rollout support TA,የክልል የ HPV ክትባት ልቀት TA ድጋፍ,P,,
Regional Hub Manager,የክልል መገናኛ ሥራ አስኪያጅ,P,,
Regional immunization advisor,የክልል የክትባት አማካሪ,P,,
Regional Immunization Support Manager,የክልል የክትባት ድጋፍ ሥራ አስኪያጅ,P,,
Regional Intensive Mentorship Specialist ( Internal & External),ክልላዊ የተጠናከረ የማማከር ባለሙያ (ውስጣዊ እና ውጫዊ),P,,
Regional Lab Advisor,የክልል ላብ አማካሪ,P,,
"Regional Leadership, Management and Coordination Technical Assistant",የክልል አመራር፣ አስተዳደር እና ማስተባበሪያ ቴክኒካል ረዳት,P,,
Regional Legal Coordinator for Central East,ለማዕከላዊ ምስራቅ የክልል የህግ አስተባባሪ,P,,
Regional Liaison coordinator- FMNR Movement Catalyst Project,የክልል ግንኙነት አስተባባሪ - የFMNR እንቅስቃሴ ካታሊስት ፕሮጀክት,P,,
Regional LMIS Expert,የክልል LMIS ባለሙያ,P,,
Regional M & E Advisor,የክልል M & ኢ አማካሪ,P,,
Regional M&E Officer,የክልል M&E ኦፊሰር,P,,
Regional Maintenance Specialist,የክልል ጥገና ስፔሻሊስት,P,,
Regional Malaria Program Manager,የክልል የወባ ፕሮግራም አስተዳዳሪ,P,,
Regional Marketing Manager,የክልል ግብይት ሥራ አስኪያጅ,P,,
Regional Operation Manager,የክልል ኦፕሬሽን ሥራ አስኪያጅ,P,,
Regional Operation Officer,የክልል ኦፕሬሽን ኦፊሰር,P,,
Regional Primary Health Care (PHC) specialist,የክልል የመጀመሪያ ደረጃ የጤና እንክብካቤ (PHC) ስፔሻሊስት,P,,
Regional Program Assistant,የክልል ፕሮግራም ረዳት,P,,
Regional Program Coordinator,የክልል ፕሮግራም አስተባባሪ,P,,
Regional Program Manager,የክልል ፕሮግራም አስተዳዳሪ,P,,
Regional Representative,የክልል ተወካይ,P,,
Regional Resource Mobilization & Customer Service Officer,የክልል ሪሶርስ ማሰባሰብ እና የደንበኞች አገልግሎት ኦፊሰር,P,,
Regional SBC Senior Advisor,የክልል SBC ከፍተኛ አማካሪ,P,,
Regional Social Accountability Advisor ( Internal & External),የክልል ማህበራዊ ተጠያቂነት አማካሪ (ውስጣዊ እና ውጫዊ),P,,
Regional Social Behavior Change (SBC) Project Manager,የክልል ማህበራዊ ባህሪ ለውጥ (ኤስቢሲ) ፕሮጀክት ሥራ አስኪያጅ,P,,
Regional Subgrant Officer,የክልል ንዑስ ኦፊሰር,P,,
Regional Technical Advisor for MDR TB,ለኤምዲአር ቲቢ የክልል ቴክኒካል አማካሪ,P,,
"Regional Technical Advisor, HPV Vaccines","የክልል ቴክኒካል አማካሪ, የ HPV ክትባቶች",P,,
Regional Technical Coordinator,የክልል የቴክኒክ አስተባባሪ,P,,
Regional Telebirr Supervisor,የክልል ቴሌቢር ተቆጣጣሪ,P,,
Regional Trade Marketing Coordinator,የክልል ንግድ ግብይት አስተባባሪ,P,,
Regional WASH IM Officer,የክልል የዋሽ አይኤም ኦፊሰር,P,,
Regional WASH Services Lead,የክልል የንጽህና አገልግሎት አመራር,P,,
Regional/Upcountry Sales Supervisor,የክልል/የላይ ሀገር የሽያጭ ተቆጣጣሪ,P,,
Registrar and Programming Office Assistant Head,ሬጅስትራር እና ፕሮግራሚንግ ቢሮ ረዳት ኃላፊ,P,,
Registrar and Reception,ሬጅስትራር እና መቀበያ,P,,
Registrar and Secratary,ሬጅስትራር እና ሴክሬታሪ,P,,
Registrar Head & Reception,የመመዝገቢያ ኃላፊ እና መቀበያ,P,,
Registrar Management system,የመመዝገቢያ አስተዳደር ስርዓት,P,,
Regulation & Capacity Building Advisor and trainer,ደንብ እና አቅም ግንባታ አማካሪ እና አሰልጣኝ,P,,
Regulatory affairs officer,የቁጥጥር ጉዳዮች ኃላፊ,P,,
Regulatory officer,የቁጥጥር መኮንን,P,,
Rehabilitation Center Manager,የመልሶ ማቋቋም ማዕከል ሥራ አስኪያጅ,P,,
Reinsurance Operations Division Manager,የዳግም ኢንሹራንስ ኦፕሬሽንስ ክፍል ሥራ አስኪያጅ,P,,
Reintegration Officer,የመልሶ ማቋቋም ኦፊሰር,P,,
Relationship Councilor & Advisor Host,የግንኙነት አማካሪ እና አማካሪ አስተናጋጅ,P,,
Relationship counselor/writer for digital magazine,ለዲጂታል መጽሔት የግንኙነት አማካሪ/ጸሐፊ,P,,
Relationship Officer,ግንኙነት መኮንን,P,,
Relationship Tip & Advise Host,የግንኙነት ጠቃሚ ምክር እና አስተናጋጅ ምክር,P,,
Remedial Course Instructor,የማስተካከያ ኮርስ አስተማሪ,P,,
Remittance Officer,የገንዘብ ማስተላለፍ ኃላፊ,P,,
"Remittance, Swift Account Management Division Manager",ገንዘብ ማስተላለፍ፣ የስዊፍት መለያ አስተዳደር ክፍል አስተዳዳሪ,P,,
Remote architect,የርቀት አርክቴክት,P,,
Remote Interpreter On Skype,በስካይፕ ላይ የርቀት ተርጓሚ,U,,
Remote IT Support,የርቀት የአይቲ ድጋፍ,P,,
Remote Java spring API developer,የርቀት ጃቫ ስፕሪንግ ኤፒአይ ገንቢ,P,,
Remote Javascript tutor,የርቀት ጃቫስክሪፕት አስተማሪ,P,,
Remote task handler,የርቀት ተግባር ተቆጣጣሪ,U,,
Remote Technical Manager,የርቀት ቴክኒካል አስተዳዳሪ,P,,
Remote Telemarketer,የርቀት ቴሌማርኬተር,P,,
Remote Travel Sales Consultant,የርቀት የጉዞ ሽያጭ አማካሪ,P,,
"Rendering, Graphics, and Animation Expert.",አቀራረብ፣ ግራፊክስ እና አኒሜሽን ባለሙያ,P,,
Rent & Contract Administration Division Head,ኪራይ እና ውል አስተዳደር ክፍል ኃላፊ,P,,
Rental Building Administrator,የኪራይ ሕንፃ አስተዳዳሪ,P,,
Rental for Galileo Sign On,ኪራይ ለጋሊልዮ ይግቡ,U,,
Repair AWS(amazon web services) system,የAWS(የአማዞን ድር አገልግሎቶች) ስርዓትን መጠገን,P,,
Reporter,ሪፖርተር,P,,
Reporting Analyst,ሪፖርት ማድረግ ተንታኝ,P,,
Reporting Specialist,ሪፖርት አድራጊ ስፔሻሊስት,P,,
Reporting Team Leader,የሪፖርት ቡድን መሪ,P,,
Office Management Services,የቢሮ አስተዳደር አገልግሎቶች,P,,
Café Manager,ካፌ አስተዳዳሪ,P,,
Research & Business Development Officer,የምርምር እና የንግድ ልማት ኦፊሰር,P,,
Research & Development Division Manager,የምርምር እና ልማት ክፍል ሥራ አስኪያጅ,P,,
Research & Development expert,የምርምር እና ልማት ባለሙያ,P,,
Research & Feasibility Analyst,የምርምር እና የአዋጭነት ተንታኝ,P,,
Research & Insight Coordinator,የምርምር እና ማስተዋል አስተባባሪ,P,,
Research & Market Intelligence Officer,የምርምር እና የገበያ ኢንተለጀንስ ኦፊሰር,P,,
Research Administrator,የምርምር አስተዳዳሪ,P,,
Research advisor,የምርምር አማካሪ,P,,
Research and administrative assistant,የምርምር እና የአስተዳደር ረዳት,P,,
Research and Business Development Manager,የምርምር እና የንግድ ልማት ሥራ አስኪያጅ,P,,
Research and Communication Officer,የምርምር እና ኮሙኒኬሽን ኦፊሰር,P,,
Research and Community Services Officer,የምርምር እና የማህበረሰብ አገልግሎት ኦፊሰር,P,,
Research and Content Creation,ምርምር እና ይዘት መፍጠር,P,,
Research and Development Associate,የምርምር እና ልማት ተባባሪ,P,,
Research and development Manager,የምርምር እና ልማት ሥራ አስኪያጅ,P,,
Research and Documentation Coordinator,የምርምር እና ሰነዶች አስተባባሪ,P,,
Research and Insight Manager,ምርምር እና ግንዛቤ አስተዳዳሪ,P,,
Research and Learning Specialist,የምርምር እና የመማር ስፔሻሊስት,P,,
Research and Market Intelligence Specialist,የምርምር እና የገበያ ኢንተለጀንስ ስፔሻሊስት,P,,
Research and Product Development Officer,የምርምር እና የምርት ልማት ኦፊሰር,P,,
Research and Proposal Developer,የምርምር እና ፕሮፖዛል ገንቢ,P,,
Research and publication office head,የምርምር እና ህትመት ቢሮ ኃላፊ,P,,
Research and Publication Officer,የምርምር እና የህትመት ኦፊሰር,P,,
Research Co-ordinator,የምርምር አስተባባሪ,P,,
Research Coordinator for Operational Research on Child Wasting,ስለ ልጅ ብክነት የተግባር ጥናት ምርምር አስተባባሪ,P,,
research data analyser,የምርምር መረጃ ተንታኝ,P,,
Research Department Specialist,የምርምር ክፍል ስፔሻሊስት,P,,
Research Director,የምርምር ዳይሬክተር,P,,
Research Editor,የምርምር አርታዒ,P,,
Research Fellow,የምርምር ባልደረባ,P,,
Research Field Coordinator,የምርምር መስክ አስተባባሪ,P,,
Research guide,የምርምር መመሪያ,P,,
Research nurse for air pollution and health impact study project,የአየር ብክለት እና የጤና ተፅእኖ ጥናት ፕሮጀክት ተመራማሪ ነርስ,P,,
Research on Displacement Trends,የመፈናቀል አዝማሚያዎች ላይ ጥናት,P,,
"Research Partner for a Maternal, Neonatal and Child Health (MNCH) Effectiveness Study in Ethiopia",የምርምር አጋር ለእናቶች፣ አራስ እና ህፃናት ጤና (MNCH) ውጤታማነት ጥናት በኢትዮጵያ,P,,
Research personnel for visibility study,ለታይነት ጥናት ተመራማሪዎች,P,,
"Research, Monitoring, Learning and Evaluation Advisor",የምርምር፣ ክትትል፣ ትምህርት እና ግምገማ አማካሪ,P,,
Resellers,ዳግም ሻጮች,P,,
Reservation Executive,የቦታ ማስያዝ ሥራ አስፈፃሚ,P,,
Reservation Manager,የቦታ ማስያዣ አስተዳዳሪ,P,,
Reservation Supervisor,የመጠባበቂያ ተቆጣጣሪ,P,,
Reservation/ flight ticket agent,ቦታ ማስያዝ/የበረራ ቲኬት ወኪል,P,,
Residence Interior design project,የመኖሪያ ውስጣዊ ንድፍ ፕሮጀክት,P,,
Resident DJ,ነዋሪ ዲጄ,U,,
resident engineer,ነዋሪ መሐንዲስ,P,,
Resident Structural engineer,ነዋሪ መዋቅራዊ መሐንዲስ,P,,
Resident/ Safety Engineer,ነዋሪ/የደህንነት መሐንዲስ,P,,
Resident/Site Engineer,ነዋሪ/የጣቢያ መሐንዲስ,P,,
Resilience Activity Lead,የመቋቋም እንቅስቃሴ መሪ,P,,
Resilience Research & Innovation Specialist,የመቋቋም ምርምር እና ፈጠራ ባለሙያ,P,,
Resource Center Officer,የመርጃ ማዕከል ኦፊሰር,P,,
Resource Development Advisor,የሀብት ልማት አማካሪ,P,,
Resource Mobilization & Project Officer,የሀብት ማሰባሰብ እና የፕሮጀክት ኦፊሰር,P,,
Resource Mobilization Advisor,የሀብት ማሰባሰብ አማካሪ,P,,
Resource Mobilization And Customer Service Officer,የሀብት ማሰባሰብ እና የደንበኞች አገልግሎት ኦፊሰር,P,,
Resource Mobilization Consultant,የሀብት ማሰባሰብ አማካሪ,P,,
Resource Mobilization Department Manager,የንብረት ማሰባሰብ መምሪያ ሥራ አስኪያጅ,P,,
Resource Mobilization Expert -I,የንብረት ማሰባሰብ ባለሙያ -I,P,,
Resource Mobilization Expert -II,የንብረት ማሰባሰብ ባለሙያ -II,P,,
Resource Mobilization Officer,የሀብት ማሰባሰብ ኦፊሰር,P,,
Resource Mobilization/Marketing Coordinator,የሀብት ማሰባሰብ/ግብይት አስተባባሪ,P,,
Restaurant & Bar Supervisor,ምግብ ቤት እና ባር ተቆጣጣሪ,P,,
Restaurant / Bar Manager,ምግብ ቤት / ባር አስተዳዳሪ,P,,
Restaurant Accountant,የምግብ ቤት አካውንታንት,P,,
Restaurant and bar cashier,ምግብ ቤት እና ባር ገንዘብ ተቀባይ,P,,
Restaurant and Bar Manager,ምግብ ቤት እና ባር አስተዳዳሪ,P,,
Restaurant and cafe Manager,ምግብ ቤት እና ካፌ አስተዳዳሪ,P,,
Restaurant and Lounge Manager,ምግብ ቤት እና ላውንጅ አስተዳዳሪ,P,,
Restaurant and Lounge Supervisor,ሬስቶራንት እና ላውንጅ ተቆጣጣሪ,P,,
Restaurant Assistant Chef,የምግብ ቤት ረዳት ሼፍ,P,,
"Restaurant banner , flayer , poster , logo designer",የምግብ ቤት ባነር ፣ ፍላየር ፣ ፖስተር ፣ አርማ ዲዛይነር,P,,
Restaurant Porter,ምግብ ቤት ፖርተር,U,,
"Results, Monitoring & Evaluations Adviser",ውጤቶች፣ ክትትል እና ግምገማዎች አማካሪ,P,,
Retail & MSME IFB- Relationship Officer,ችርቻሮ እና MSME IFB- ግንኙነት ኦፊሰር,P,,
Retail /Operation Manager –,የችርቻሮ / ኦፕሬሽን ሥራ አስኪያጅ,P,,
Retail Center Operations Coordinator,የችርቻሮ ማዕከል ስራዎች አስተባባሪ,P,,
Retail Customer Relationship Management Officer I,የችርቻሮ ደንበኞች ግንኙነት አስተዳደር ኦፊሰር I,P,,
Retail Experience Executive,የችርቻሮ ልምድ ሥራ አስፈፃሚ,P,,
Revenue Analyst,የገቢ ተንታኝ,P,,
Revenue Architect ( Revenue Manager ),የገቢ አርክቴክት (የገቢ አስተዳዳሪ),P,,
Revenue Manager,የገቢ አስተዳዳሪ,P,,
Reverse engineer and penetration tester,የተገላቢጦሽ መሐንዲስ እና የመግቢያ ሞካሪ,P,,
Revit and 3d max instructor,Revit እና 3d max አስተማሪ,P,,
Revit and 3d Max Teacher,Revit እና 3d Max መምህር,P,,
Revit and Graphics design softwares trainer,የሪቪት እና ግራፊክስ ዲዛይን ሶፍትዌሮች አሰልጣኝ,P,,
Revit Expert,Revit ኤክስፐርት,P,,
Reward & Employee Services Officer,ሽልማት እና የሰራተኛ አገልግሎት ኦፊሰር,P,,
Reward & Reporting Specialist,ሽልማት እና ሪፖርት ማድረግ ስፔሻሊስት,P,,
Rewards and Benefits Management Officer,ሽልማቶች እና ጥቅሞች አስተዳደር ኦፊሰር,P,,
Rewinder Electrician,Rewinder ኤሌክትሪክ,P,,
RF Engineer,RF መሐንዲስ,U,,
RFP - Health Financing Consultancy,RFP - የጤና ፋይናንስ አማካሪ,U,,
Ride Hailing App developer,Ride Hailing መተግበሪያ ገንቢ,P,,
Right of Way ( Way Leave Coordinator),የመንገዱ መብት (የመንገድ መልቀቅ አስተባባሪ),U,,
Right of way Management Specialist,የመንገድ መብት አስተዳደር ስፔሻሊስት,U,,
RIPA NUTRITION TEAM LEAD,የRIPA አመጋገብ ቡድን መሪ,P,,
RIPA Somali Region Program Coordinator,የ RIPA ሱማሌ ክልል ፕሮግራም አስተባባሪ,P,,
RISE Project Coordinator,RISE ፕሮጀክት አስተባባሪ,P,,
Risk & Compliance Department Manager,ስጋት እና ተገዢነት መምሪያ ሥራ አስኪያጅ,P,,
Risk & Compliance Management Officer,የአደጋ እና ተገዢነት አስተዳደር ኦፊሰር,P,,
Risk & Compliance Manager,ስጋት እና ተገዢነት አስተዳዳሪ,P,,
Risk & Compliance Principal Officer,ስጋት እና ተገዢነት ዋና ኦፊሰር,P,,
Risk & Internal Audit Head,ስጋት እና የውስጥ ኦዲት ኃላፊ,P,,
Risk Analyst,የአደጋ ተንታኝ,P,,
Risk and Compliance - Head,አደጋ እና ተገዢነት - ጭንቅላት,P,,
Risk and Compliance Coordinator,የአደጋ እና ተገዢነት አስተባባሪ,P,,
Risk and Compliance Management Division Manager,ስጋት እና ተገዢነት አስተዳደር ክፍል አስተዳዳሪ,P,,
Risk and Compliance Section Manager,ስጋት እና ተገዢነት ክፍል አስተዳዳሪ,P,,
"Risk, Audit and Compliance Manager",ስጋት፣ ኦዲት እና ተገዢነት አስተዳዳሪ,P,,
RMC Sales and Marketing Officer,RMC የሽያጭ እና ግብይት ኦፊሰር,P,,
RMNCH Senior Officer,የRMNCH ከፍተኛ መኮንን,P,,
RMNCH-FP Program Officer,RMNCH-FP ፕሮግራም ኦፊሰር,P,,
Road Cargo and Transport Operation Manager,የመንገድ ጭነት እና ትራንስፖርት ኦፕሬሽን ሥራ አስኪያጅ,P,,
Road Construction Department Manager,የመንገድ ግንባታ መምሪያ ሥራ አስኪያጅ,P,,
Road Construction Division Head,የመንገድ ግንባታ ክፍል ኃላፊ,P,,
Road Freight Specialist,የመንገድ ጭነት ስፔሻሊስት,P,,
Road Safety worker,የመንገድ ደህንነት ሰራተኛ,P,,
Road Structural Foreman,የመንገድ መዋቅራዊ ፎርማን,P,,
Roadshow Sales/Representative,የመንገድ ትዕይንት ሽያጭ/ተወካይ,U,,
Roasting Coffee Supervisor,የተጠበሰ ቡና ተቆጣጣሪ,P,,
Roasting operator,ጥብስ ኦፕሬተር,U,,
Rode safety worker,የሮድ ደህንነት ሰራተኛ,U,,
Roll Mill Operator,ሮል ሚል ኦፕሬተር,P,,
Roller Compactor Operator,ሮለር ኮምፓክተር ኦፕሬተር,P,,
Roller Operator,ሮለር ኦፕሬተር,P,,
Roller Operator (Single Drum),ሮለር ኦፕሬተር (ነጠላ ከበሮ),P,,
Roller Operator (Tire & Steel Roller),ሮለር ኦፕሬተር (ጎማ እና ብረት ሮለር),P,,
Room & Public Attendant,ክፍል እና የህዝብ ረዳት,P,,
Room attendant,ክፍል አስተናጋጅ,U,,
Room Division Manager,ክፍል ክፍል አስተዳዳሪ,U,,
Room Maid,ክፍል አገልጋይ,U,,
Route Sales Supervisor (Buna Pen and Buna Plate),የመንገድ ሽያጭ ተቆጣጣሪ (ቡና ፔን እና ቡና ሳህን),U,,
Route To Market Manager,ወደ ገበያ አስተዳዳሪ የሚወስደው መንገድ,U,,
Route to Market Specialist,ወደ ገበያ ስፔሻሊስት የሚወስደው መንገድ,U,,
Roving Area Manager – Norwegian Refugee Council (NRC),የሮቪንግ አካባቢ ሥራ አስኪያጅ - የኖርዌይ የስደተኞች ምክር ቤት (NRC),U,,
Roving Area Programme Manager,ሮቪንግ አካባቢ ፕሮግራም አስተዳዳሪ,U,,
Roving Cash and Voucher Program Manager,የሮቪንግ ጥሬ ገንዘብ እና የቫውቸር ፕሮግራም አስተዳዳሪ,P,,
Roving ECSC-SUN Senior Gender Advisor,ሮቪንግ ECSC-Sun ከፍተኛ የሥርዓተ-ፆታ አማካሪ,P,,
Roving Education Specialist,ሮቪንግ ትምህርት ስፔሻሊስት,P,,
Roving Emergency Response Advisor,ሮቪንግ የአደጋ ጊዜ ምላሽ አማካሪ,P,,
Roving Finance officer-EUD project,ሮቪንግ ፋይናንስ ኦፊሰር-EUD ፕሮጀክት,P,,
Roving Infrastructure Officer,ሮቪንግ መሠረተ ልማት ኦፊሰር,P,,
Roving Logistics and Commodity Manager,ሮቪንግ ሎጅስቲክስ እና የሸቀጦች ሥራ አስኪያጅ,P,,
Roving MHPSS Specialist,ሮቪንግ MHPSS ስፔሻሊስት,P,,
Roving MIS Officer,ሮቪንግ MIS ኦፊሰር,P,,
"Roving Monitoring, Evaluation, Accountability and Learning (MEAL) officer",የሮቪንግ ክትትል፣ ግምገማ፣ ተጠያቂነት እና መማር (MEAL) መኮንን,P,,
Roving Nurse,ሮቪንግ ነርስ,P,,
Roving Private Sector Technical Advisor,የሮቪንግ የግል ዘርፍ ቴክኒካል አማካሪ,P,,
Roving Protection and Gender Officer- SWAN,የሮቪንግ ጥበቃ እና የሥርዓተ-ፆታ ኦፊሰር- SWAN,P,,
