informal work in eng,Profession  in Amharic,Professional / Informal,sector,sub sector,Profession in Amharic,professional/ formal
Mental Health Psycho Social Support Specialist,,,Health,Health,የአእምሮ ጤና ሳይኮ ማህበራዊ ድጋፍ ስፔሻሊስት,P
MEP Engineer,,,Construction,Electro-Mechanical Contractor,MEP መሐንዲስ,P
MERA Officer,,,Service,Other services,MERA መኮንን,P
Meraf Internet Café Customer Representative,,,ICT and digital work,Internet Cafe Service,የሜራፍ ኢንተርኔት ካፌ የደንበኛ ተወካይ,P
MERL Coordinator - SUN WASH Project,,,Service,Research and experimental development work in engineering and technology,የMERL አስተባባሪ - የፀሐይ ማጠቢያ ፕሮጀክት,P
MERN Developer,,,ICT and digital work,Software Design Development and Implementation Works,MERN ገንቢ,P
Mern stack developer,,,ICT and digital work,Software Design Development and Implementation Works,Mern ቁልል ገንቢ,P
Method Officer L1,,,Service,Other services,ዘዴ ኦፊሰር L1,P
Methodologist of online courses/LMS,,,Education,other,የመስመር ላይ ኮርሶች ሜቶሎጂስት/ኤልኤምኤስ,P
MHN Team Leader,,,Health,Health,MHN ቡድን መሪ,P
MHPSS Counselor,,,Health,Health,የMHPSS አማካሪ,P
Micro and Macro Scheduler,,,Service,Other services,ማይክሮ እና ማክሮ መርሐግብር,P
Micro Biologist,,,Service,Research and experimental development work in biology and chemistry,የማይክሮባዮሎጂ ባለሙያ,P
"Micro, Small and Medium Enterprises (MSMEs) Recovery and Development",,,Service,Business Promotion Service,ጥቃቅን፣ አነስተኛ እና መካከለኛ ኢንተርፕራይዞች (MSMEs) መልሶ ማግኛ እና ልማት,P
"Micro, Small, & Medium Enterprises/MSME Relationship Officer,",,,Service,Business Promotion Service,የጥቃቅን፣ አነስተኛ እና መካከለኛ ኢንተርፕራይዞች/MSME ግንኙነት ኦፊሰር፣,P
Microsoft Dynamics 365 CRM Developer,,,ICT and digital work,Software Design Development and Implementation Works,የማይክሮሶፍት ዳይናሚክስ 365 CRM ገንቢ,P
Microsoft Excel Expert,,,Service,Information and Communication Technology Consulting Service,የማይክሮሶፍት ኤክሴል ባለሙያ,P
Microsoft Power Platform Developer/Designer,,,ICT and digital work,Software Design Development and Implementation Works,የማይክሮሶፍት ፓወር መድረክ ገንቢ/ንድፍ አውጪ,P
Microwave Engineer,,,Economic Infrastructure,Electro technology,የማይክሮዌቭ መሐንዲስ,P
mid level architect,,,Construction,Building Construction Contractor,መካከለኛ ደረጃ አርክቴክት,P
Middle & High School Guidance & Counselor,,,Service,Education counseling service,የመካከለኛ እና ሁለተኛ ደረጃ ትምህርት ቤት መመሪያ እና አማካሪ,P
Migrant Service Assistant,,,Service,Social work services,የስደተኛ አገልግሎት ረዳት,P
Milk processing chemists,,,Manufacturing,Fresh milk processing (pasteurization; Homogenesis á Stereology and Vitamin supplementation,የወተት ማቀነባበሪያ ኬሚስቶች,P
Mill Supervisor flour,,,Manufacturing,Manufacturing of crushed and partially ground grains,የወፍጮ ሱፐርቫይዘር ዱቄት,P
Milling Operator,,,Manufacturing,Manufacturing of crushed and partially ground grains,ወፍጮ ኦፕሬተር,P
Milling section production supervisor,,,Manufacturing,Manufacturing of crushed and partially ground grains,የወፍጮ ክፍል የምርት ተቆጣጣሪ,P
Minatenance Inspector,,,Service,General maintenance,ሚኒቴናንስ ኢንስፔክተር,P
Mind mapping expert,,,Service,Consulting service around social science,የአእምሮ ካርታ ባለሙያ,P
Mindset trainer,,,Service,Short-term language training and education,የአስተሳሰብ አሰልጣኝ,P
Mines and Auto Garage Head,,,Mining and Quarrying,Mining works,ፈንጂዎች እና የመኪና ጋራጅ ኃላፊ,P
Mini game zone supervisor,,,Tourism and art,"Mobile, Theater and; Video film production and distribution",አነስተኛ የጨዋታ ዞን ተቆጣጣሪ,P
Mini PHP project modification,,,ICT and digital work,Software Design Development and Implementation Works,አነስተኛ ፒኤችፒ ፕሮጀክት ማሻሻያ,P
Miniature bridge model maker,,,Construction,Building Construction Contractor,አነስተኛ ድልድይ ሞዴል ሰሪ,P
Mining and Rock Excavation Manager,,,Mining and Quarrying,Mining works,የማዕድን እና ሮክ ቁፋሮ ሥራ አስኪያጅ,P
Mining Division Head,,,Mining and Quarrying,Mining works,የማዕድን ክፍል ኃላፊ,P
Mining engineer,,,Mining and Quarrying,Mining works,የማዕድን መሐንዲስ,P
Miracle Burger and Pizza wiater and Assistant,,,Tourism and art,"Resturant,Coffee shop",ተአምር በርገር እና ፒዛ ዋይተር እና ረዳት,P
MIS and Business Intelligence Officer,,,ICT and digital work,Database organization and data processing,MIS እና የንግድ ኢንተለጀንስ ኦፊሰር,P
MIS Manager,,,ICT and digital work,Database organization and data processing,MIS አስተዳዳሪ,P
MIS Officer,,,ICT and digital work,Database organization and data processing,የኤምአይኤስ ኦፊሰር,P
MIS Sales Intern,,,Business,Wholesale business in specialized stores,MIS የሽያጭ ተለማማጅ,P
MIS trainer,,,ICT and digital work,Information Communication Technology Training Service,MIS አሰልጣኝ,P
MNCH Quality and Training Coordinator,,,Health,Health,MNCH የጥራት እና ስልጠና አስተባባሪ,P
Mobile Assembler,,,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers",የሞባይል ሰብሳቢ,P
Mobile Card Sales Officers,,,Business,"Telecommunication Equipment Retail Computer, Computer Accessories, Accessories & Accessories",የሞባይል ካርድ ሽያጭ መኮንኖች,P
Mobile game demo video creator,,,ICT and digital work,Software Design Development and Implementation Works,የሞባይል ጨዋታ ማሳያ ቪዲዮ ፈጣሪ,P
Mobile journalist,,,Sport Culture and tourism,Journalism,የሞባይል ጋዜጠኛ,P
Mobile Lead,,,ICT and digital work,Software Design Development and Implementation Works,የሞባይል መሪ,P
Monitoring Evaluation Accountability And Learning (MEAL) Assistant,,,Service,Research and Experimental Development Works on Economics and Development,የክትትል ግምገማ ተጠያቂነት እና መማር ረዳት,P
Monitoring Evaluation Accountability and Learning (MEAL) Officer,,,Service,Research and Experimental Development Works on Economics and Development,የክትትል ግምገማ ተጠያቂነት እና ትምህርት (MEAL) ኦፊሰር,P
Monitoring Evaluation Accountability and Learning (MEAL) Specialist,,,Service,Research and Experimental Development Works on Economics and Development,የክትትል ግምገማ ተጠያቂነት እና ትምህርት (MEAL) ስፔሻሊስት,P
"Monitoring, Evaluation and Learning (MEL) Director - Ethiopia RRM/BHA",,,Service,Research and Experimental Development Works on Economics and Development,የክትትል፣ ግምገማ እና ትምህርት (MEL) ዳይሬክተር,P
Monolayer Blown Film Extrusion Machine Operator,,,Manufacturing,Manufacturing of plastic products,ሞኖላይየር ብሎውን ፊልም ኤክስትራክሽን ማሽን ኦፕሬተር,P
Moodle Developer,,,ICT and digital work,Software Design Development and Implementation Works,Moodle ገንቢ,P
Moodle LMS customization,,,ICT and digital work,Software Design Development and Implementation Works,Moodle LMS ማበጀት,P
Moroccan bath specialist,,,Service,Hair and beauty care,የሞሮኮ መታጠቢያ ስፔሻሊስት,P
Motion Grpahics Designer,,,Tourism and art,Motion Picture Works,የእንቅስቃሴ ግራፊክስ ዲዛይነር,P
Motion picture professional,,,Tourism and art,Motion Picture Works,የእንቅስቃሴ ምስል ባለሙያ,P
Motor Pool Coordinator II,,,"Logistics, transportation and communication",Other supportive transportation services,የሞተር ገንዳ አስተባባሪ II,P
Motorist & Messenger,,,"Logistics, transportation and communication",Other supportive transportation services,አሽከርካሪ እና መልእክተኛ,I
Movie & Playstation Center Assistant,,,Tourism and art,"Mobile, Theater and; Video film production and distribution",የፊልም እና የፕሌይስቴሽን ማዕከል ረዳት,I
Movie Organizer,,,Tourism and art,Motion Picture Works,የፊልም አዘጋጅ,U
Movie poster designer,,,Tourism and art,Motion Picture Works,የፊልም ፖስተር ዲዛይነር,P
Movie Recap Editor,,,Tourism and art,Motion Picture Works,የፊልም ሪካፕ አርታዒ,P
movie recap translator,,,Tourism and art,Motion Picture Works,የፊልም ሪካፕ ተርጓሚ,P
Movie scriptwriter,,,Tourism and art,Motion Picture Works,የፊልም ጸሐፊ,P
MPC Transfer Officer,,,Service,Finance and Administration Services,የ MPC ማስተላለፍ ኦፊሰር,P
MPesa Data Collector,,,ICT and digital work,Database organization and data processing,MPesa ውሂብ ሰብሳቢ,P
MPESA Sales Person,,,Business,"Telecommunication Equipment Retail Computer, Computer Accessories, Accessories & Accessories",MPESA የሽያጭ ሰው,P
MPESA Sales supervisor,,,Business,"Telecommunication Equipment Retail Computer, Computer Accessories, Accessories & Accessories",የMPESA የሽያጭ ተቆጣጣሪ,P
"MRT, Radiology Technologist",,,Health,Health,"MRT, የራዲዮሎጂ ቴክኖሎጂ ባለሙያ",P
ms Excel programmer,,,ICT and digital work,Software Design Development and Implementation Works,ms ኤክሴል ፕሮግራመር,P
MS4G Enterprise Growth Advisor,,,Service,Business Promotion Service,MS4G ኢንተርፕራይዝ እድገት አማካሪ,P
MS4G Enterprise Growth Specialist,,,Service,Business Promotion Service,MS4G ኢንተርፕራይዝ እድገት ስፔሻሊስት,P
MSC Program Coordinator,,,Service,Special event coordination,የMSC ፕሮግራም አስተባባሪ,P
MSD – Irrigation officer,,,Construction,Irrigation system,MSD - የመስኖ ኦፊሰር,P
MT Software,,,ICT and digital work,Software Design Development and Implementation Works,ኤምቲ ሶፍትዌር,P
Mulesoft/Salesforce Developer,,,ICT and digital work,Software Design Development and Implementation Works,ሙሌሶፍት/የሽያጭ ሃይል ገንቢ,P
Multi Sectoral Project Manager-Afar Program Area,,,Service,Special event coordination,የባለብዙ ዘርፍ ፕሮጀክት ስራ አስኪያጅ - የአፋር ፕሮግራም አካባቢ,P
Oromiffa to English Translator,,,Service,Short-term language training and education,ኦሮሚፋ ወደ እንግሊዝኛ ተርጓሚ,P
Multipurpose Maintenance Service Worker,,,Service,General maintenance,ሁለገብ የጥገና አገልግሎት ሠራተኛ,P
Multipurpose Technician,,,Service,General maintenance,ሁለገብ ቴክኒሻን,P
Multi-Sector Project Manager,,,Service,Special event coordination,ባለብዙ ዘርፍ ፕሮጀክት ሥራ አስኪያጅ,P
Municipal Infrastructure Engineer,,,Economic Infrastructure,Municipality,የማዘጋጃ ቤት መሠረተ ልማት መሐንዲስ,P
Mural artist,,,Tourism and art,Culture and Arts Education,ሙራል አርቲስት,P
Mural painter,,,Construction,Contractor of paint and decoration works,የግድግዳ ሰዓሊ,P
Music band manager,,,Tourism and art,Music Band,የሙዚቃ ባንድ አስተዳዳሪ,P
MySQL Database error debugger fixer,,,ICT and digital work,Database organization and data processing,MySQL ዳታቤዝ ስህተት አራሚ,P
Mystery shopping and Evaluation Department Head,,,Service,Research and Experimental Development Works on Economics and Development,ሚስጥራዊ ግዢ እና ግምገማ መምሪያ ኃላፊ,P
Nannies for special need students,,,Service,Social work services,ልዩ ፍላጎት ላላቸው ተማሪዎች ናኒዎች,P
National Advisor on Organization development,,,Service,Consulting service around social science,የድርጅት ልማት አማካሪ,P
National Advocacy and Communication Manager,,,Service,Advertising,ብሄራዊ አድቮኬሲ እና ኮሙኒኬሽን ስራ አስኪያጅ,P
National Child Protection and GBV Program Coordinator,,,Service,Social work services,ብሔራዊ የሕፃናት ጥበቃ እና የ GBV ፕሮግራም አስተባባሪ,P
NATIONAL CONSULTANT FOR THE DEVELOPMENT OF A MIGRATION RESPONSE CENTRE (MRC) MANAGEMENT PACKAGE,,,Service,Consulting service around social science,የስደተኞች ምላሽ ማዕከል (MRC) ማኔጅመንት ፓኬጅ ልማት ብሔራዊ አማካሪ,P
National Coordinator Sustainable Commercialization of Sexed Dairy Genetics in East Africa,,,agriculture,Livestock development,በምስራቅ አፍሪካ የወሲብ የወተት ጀነቲክስ ብሄራዊ አስተባባሪ ዘላቂ ንግድ,P
National Dialogue Coordinator - Participation,,,Service,Consulting service around social science,ብሔራዊ ውይይት አስተባባሪ - ተሳትፎ,P
National ECCE Project Manager,,,Service,Special event coordination,ብሔራዊ ኢሲኢኢ ፕሮጀክት ሥራ አስኪያጅ,P
National Executive Commissioner,,,Service,Management System Certification,ብሔራዊ ሥራ አስፈፃሚ ኮሚሽነር,P
National Family Strengthening Program Manager,,,Service,Social work services,የብሔራዊ ቤተሰብ ማጠናከሪያ ፕሮግራም ሥራ አስኪያጅ,P
National Health and Nutrition Coordinator,,,Health,Health,ብሔራዊ ጤና እና አመጋገብ አስተባባሪ,P
National Health Laboratory Service Program consultant,,,Health,Health,የብሔራዊ ጤና ላቦራቶሪ አገልግሎት ፕሮግራም አማካሪ,P
National Human Rights and Advocacy Coordinator,,,Service,Social work services,የብሔራዊ ሰብአዊ መብቶች እና አድቮኬሲ አስተባባሪ,P
National Immunization Consultant,,,Health,Health,ብሔራዊ የክትባት አማካሪ,P
National Lead - Ethiopia Civil Society Coalition for Scaling Up Nutrition (ECSC-SUN),,,Health,Health,ብሔራዊ መሪ - የኢትዮጵያ ሲቪል ማኅበራት ጥምረት ለሥነ-ምግብ ማበልጸግ,P
National Local Procurement Manager,,,Business,Wholesale business in specialized stores,ብሔራዊ የአካባቢ ግዥ አስተዳዳሪ,P
National Measles Data Manager,,,Health,Health,ብሔራዊ የኩፍኝ መረጃ አስተዳዳሪ,P
National MHPSS TWG Co-chair,,,Health,Health,ብሔራዊ MHPSS TWG ተባባሪ ሊቀመንበር,P
National Migration Health Physician,,,Health,Health,ብሔራዊ ማይግሬሽን የጤና ሐኪም,P
National NTD midterm evaluation consultant,,,Health,Health,የብሔራዊ NTD የአማካይ ጊዜ ግምገማ አማካሪ,P
National Project Administrator,,,Service,Special event coordination,ብሔራዊ ፕሮጀክት አስተዳዳሪ,P
National Project Coordinator,,,Service,Special event coordination,ብሔራዊ ፕሮጀክት አስተባባሪ,P
National Project Coordinator for SRF Project,,,Service,Special event coordination,ለ SRF ፕሮጀክት የብሔራዊ ፕሮጀክት አስተባባሪ,P
"National Project Coordinator, Youth Care leavers’ project",,,Service,Social work services,ብሔራዊ የፕሮጀክት አስተባባሪ፣ የወጣቶች እንክብካቤ ፈቃድ ሰጪዎች ፕሮጀክት,P
National Project Manager,,,Service,Special event coordination,ብሔራዊ ፕሮጀክት ሥራ አስኪያጅ,P
National Project Officer (Emergency Shelter and NFI Sub-National Cluster),,,Service,Social work services,የብሔራዊ የፕሮጀክት ኦፊሰር (የአደጋ ጊዜ መጠለያ እና የNFI ንዑስ ብሔራዊ ክላስተር),P
National Project Officer -WASH,,,Economic Infrastructure,Water construction,ብሄራዊ የፕሮጀክት ኦፊሰር - የውሃ ማጠቢያ,P
National Project Support Officer - CVAC,,,Service,Special event coordination,ብሔራዊ የፕሮጀክት ድጋፍ ኦፊሰር,P
National Rice Flagship Program Coordinator,,,agriculture,Agriculture,የብሔራዊ የሩዝ ባንዲራ ፕሮግራም አስተባባሪ,P
National Sales & Distributing Manager,,,Business,Wholesale business in specialized stores,ብሔራዊ የሽያጭ እና ስርጭት አስተዳዳሪ,P
National Senior Expert SME Coaching,,,Service,Business Promotion Service,ብሔራዊ ሲኒየር ኤክስፐርት SME ማሰልጠን,P
National Senior Finance Expert,,,Service,Finance and Administration Services,ብሔራዊ ከፍተኛ የፋይናንስ ባለሙያ,P
National Senior Finance Manager,,,Service,Finance and Administration Services,ብሔራዊ ሲኒየር ፋይናንስ ሥራ አስኪያጅ,P
National Technical Lead-CoE,,,ICT and digital work,Software Design Development and Implementation Works,ብሔራዊ የቴክኒክ አመራር,P
National Volunteer: Agroforestry Content Creator and Storytelling Associate,,,agriculture,Forest development and related services,ብሄራዊ በጎ ፈቃደኞች፡ አግሮ ደን የይዘት ፈጣሪ እና ተረት ተረት ተባባ,P
Native Anuak speaker,,,Service,Other services,ቤተኛ የአኝዋክ ተናጋሪ,P
Native Arabic Teacher,,,Service,Short-term language training and education,የአረብኛ ተወላጅ መምህር,P
Native Portuguese Teacher,,,Service,Short-term language training and education,ቤተኛ ፖርቹጋልኛ መምህር,P
Native Tigrinya speakers,,,Service,Other services,ቤተኛ ትግርኛ ተናጋሪዎች,P
Natural Resource Management (NRM) Specialist,,,agriculture,Forest development and related services,ተፈጥሮ ሀብት አስተዳደር (NRM) ስፔሻሊስት,P
Natural Resource Management Advisor,,,agriculture,Forest development and related services,የተፈጥሮ ሀብት አስተዳደር አማካሪ,P
Natural Resource Management Project Officer,,,agriculture,Forest development and related services,የተፈጥሮ ሀብት አስተዳደር ፕሮጀክት ኦፊሰር,P
Natural Science Teacher,,,Education,other,የተፈጥሮ ሳይንስ መምህር,P
Navis work expert,,,"Logistics, transportation and communication",Other supportive transportation services,የናቪስ ሥራ ባለሙያ,P
Negotiator and Contract Writer (Drafter),,,Service,Other services,ተደራዳሪ እና ውል ጸሐፊ,P
Neonatal and Child Health Advisor,,,Health,Health,የአራስ እና የልጅ ጤና አማካሪ,P
Neonatal Intensive Care Unit Nurse - NICU Nurse),,,Health,Health,አዲስ የተወለደው የፅኑ እንክብካቤ ክፍል ነርስ,P
Neonatal Nurse,,,Health,Health,አራስ ነርስ,P
Net & React Native Developer,,,ICT and digital work,Software Design Development and Implementation Works,አውታረ መረብ እና ምላሽ ስጥ ቤተኛ ገንቢ,P
Net Desktop app and Win Service Developer,,,ICT and digital work,Software Design Development and Implementation Works,የተጣራ ዴስክቶፕ መተግበሪያ እና የዊን አገልግሎት ገንቢ,P
Network & Datacenter Engineer,,,ICT and digital work,Data Center Hosting Services,የአውታረ መረብ እና የውሂብ ማዕከል መሐንዲስ,P
Network & Security Engineer,,,ICT and digital work,Computer network design deployment and implementation tasks,የአውታረ መረብ እና የደህንነት መሐንዲስ,P
Network & Security Team Leader,,,ICT and digital work,Computer network design deployment and implementation tasks,የአውታረ መረብ እና የደህንነት ቡድን መሪ,P
Network Admin Expert,,,ICT and digital work,Computer network design deployment and implementation tasks,የአውታረ መረብ አስተዳዳሪ ኤክስፐርት,P
Network Administration Officer I,,,ICT and digital work,Computer network design deployment and implementation tasks,የአውታረ መረብ አስተዳደር ኦፊሰር I,P
Network and CCTV Technician,,,ICT and digital work,Computer network design deployment and implementation tasks,የአውታረ መረብ አስተዳደር Network and CCTV Technicianኦፊሰር,P
Network and Hardware Maintenance officer,,,ICT and digital work,Computer network design deployment and implementation tasks,የኔትወርክ እና የሃርድዌር ጥገና ኦፊሰር,P
Network and Security - Presales Engineer,,,ICT and digital work,Computer network design deployment and implementation tasks,አውታረ መረብ እና ደህንነት - Presales መሐንዲስ,P
Network and server Engineer,,,ICT and digital work,Computer network design deployment and implementation tasks,የአውታረ መረብ እና አገልጋይ መሐንዲስ,P
Network cable installation,,,ICT and digital work,Computer network cable installation works,የአውታረ መረብ ገመድ መጫን,P
Network Cable Technician,,,ICT and digital work,Computer network cable installation works,የአውታረ መረብ ኬብል ቴክኒሻን,P
Networking and electric Line professional,,,ICT and digital work,Computer network design deployment and implementation tasks,የአውታረ መረብ እና የኤሌክትሪክ መስመር ባለሙያ,P
Networking expert,,,ICT and digital work,Computer network design deployment and implementation tasks,የአውታረ መረብ ባለሙያ,P
"Next.js , Blockchain , Web3.0 Developer",,,ICT and digital work,Software Design Development and Implementation Works,"Next.js , Blockchain , Web3.0 ገንቢ",P
NextJs & Typescript Project,,,ICT and digital work,Software Design Development and Implementation Works,NextJs እና የጽሕፈት ጽሕፈት ፕሮጀክት,P
NFT collection Marketer,,,ICT and digital work,Software Design Development and Implementation Works,NFT ስብስብ ማርኬት,P
NGO license processing,,,Service,Other services,መንግሥታዊ ያልሆነ ድርጅት የፈቃድ ሂደት,P
NICU Nurse,,,Health,Health,NICU ነርስ,P
"NICU nurse, Pediatrics",,,Health,Health,"NICU ነርስ, የሕፃናት ሕክምና",P
Night Auditor,,,Tourism and art,Hotels and Motels,የምሽት ኦዲተር,P
Night Auditor & Night Manager,,,Tourism and art,Hotels and Motels,የምሽት ኦዲተር እና የምሽት አስተዳዳሪ,P
Night Chef,,,Tourism and art,"Resturant,Coffee shop",የምሽት ሼፍ,P
Night club host,,,Tourism and art,"Motels, lodges and traditional restaurants",የምሽት ክለብ አስተናጋጅ,P
Night club Manager,,,Tourism and art,"Motels, lodges and traditional restaurants",የምሽት ክለብ አስተዳዳሪ,P
Night club supervisor,,,Tourism and art,"Motels, lodges and traditional restaurants",የምሽት ክለብ ተቆጣጣሪ,P
Night Manager & Auditor,,,Tourism and art,Hotels and Motels,የምሽት አስተዳዳሪ እና ኦዲተር,P
Night public health officer,,,Health,Health,የምሽት የህዝብ ጤና መኮንን,P
Night receptionist,,,Tourism and art,Hotels and Motels,የምሽት እንግዳ ተቀባይ,P
Night shift account manager,,,Service,Accounting audit and adminstrative works,የምሽት ፈረቃ መለያ አስተዳዳሪ,P
Night shift Administration,,,Service,Accounting audit and adminstrative works,የምሽት ፈረቃ አስተዳደር,P
Night Shift Building Administrator,,,Service,General maintenance,የምሽት ፈረቃ ሕንፃ አስተዳዳሪ,P
Night shift call center representative,,,Service,Other services,የምሽት ፈረቃ የጥሪ ማእከል ተወካይ,P
Night shift cashier,,,Business,Mini Market,የምሽት ፈረቃ ገንዘብ ተቀባይ,P
Night shift cleaner's,,,Service,"Cleaning of buildings, industry, aircraft, housing, etc",የምሽት ፈረቃ ማጽጃ,I
Night Shift Controller,,,Service,Security Service,የምሽት Shift መቆጣጠሪያ,U
Night shift front desk,,,Tourism and art,Hotels and Motels,የምሽት ፈረቃ የፊት ጠረጴዛ,P
Night Shift General Maintenance,,,Service,General maintenance,የምሽት ፈረቃ አጠቃላይ ጥገና,P
night shift outdoor sales,,,Business,Other unspecified food products retail,የምሽት ፈረቃ ከቤት ውጭ ሽያጭ,P
Night time Photographer,,,Service,Photographic works,የምሽት ጊዜ ፎቶግራፍ አንሺ,P
nightclub DJ,,,Tourism and art,Music Band,የምሽት ክበብ ዲጄ,U
Nightlife Events Coordinator,,,Service,Special event coordination,የምሽት ህይወት ዝግጅቶች አስተባባሪ,P
Nightlife Marketing Manager,,,Service,Advertising,የምሽት ህይወት ግብይት አስተዳዳሪ,P
Nightlife Photographer,,,Service,Photographic works,የምሽት ህይወት ፎቶ አንሺ,P
Nightlife Promoter,,,Service,Advertising,የምሽት ህይወት አራማጅ,P
Nightlife Special Events and Sales Manager,,,Service,Special event coordination,የምሽት ህይወት ልዩ ዝግጅቶች እና የሽያጭ አስተዳዳሪ,P
NOC Administration Officer I,,,ICT and digital work,Data Center Hosting Services,የNOC አስተዳደር ኦፊሰር I,P
Node + react redux developer,,,ICT and digital work,Software Design Development and Implementation Works,መስቀለኛ መንገድ + ምላሽ redux ገንቢ,P
Node and React (Typescript) developer,,,ICT and digital work,Software Design Development and Implementation Works,መስቀለኛ መንገድ እና ምላሽ (Typescript) ገንቢ,P
Node and ReactJs Developer,,,ICT and digital work,Software Design Development and Implementation Works,መስቀለኛ መንገድ እና ReactJs ገንቢ,P
Node Backend Developer,,,ICT and digital work,Software Design Development and Implementation Works,መስቀለኛ ጀርባ ገንቢ,P
Node Developer,,,ICT and digital work,Software Design Development and Implementation Works,የመስቀለኛ መንገድ ገንቢ,P
Node JS,,,ICT and digital work,Software Design Development and Implementation Works,መስቀለኛ መንገድ JS,P
Node js (Nest.js) And React.js,,,ICT and digital work,Software Design Development and Implementation Works,መስቀለኛ መንገድ js (Nest.js) እና ምላሽ.js,P
Node.js & Telegraf.js Developer,,,ICT and digital work,Software Design Development and Implementation Works,Node.js እና Telegraf.js ገንቢ,P
Node.js and React Developer,,,ICT and digital work,Software Design Development and Implementation Works,Node.js እና React ገንቢ,P
NonIATA Ticket Agents,,,"Logistics, transportation and communication",Other supportive transportation services,የNIATA ቲኬት ወኪሎች,P
Non-Surgical Program Coordinator,,,Health,Health,የቀዶ ጥገና ያልሆነ ፕሮግራም አስተባባሪ,P
North Operations Manager,,,Service,Other services,የሰሜን ኦፕሬሽን ሥራ አስኪያጅ,P
"NORTH WOLLO ZONE ZONAL PROGRAM COORDINATOR – HIGHLAND RESILIENCE ACTIVITY: TIGRAY REGION, ETHIOPA",,,Service,Social work services,የሰሜን ወሎ ዞን ዞን የፕሮግራም አስተባባሪ - ከፍተኛ የመቋቋም እንቅስቃሴ,P
Norwegian language teacher,,,Service,Short-term language training and education,የኖርዌይ ቋንቋ መምህር,P
NPFS Officer,,,Service,Social work services,NPFS መኮንን,P
NPFS Senior Program Manager (Ethiopia),,,Service,Social work services,NPFS ሲኒየር ፕሮግራም አስተዳዳሪ,P
NPM Project Leader,,,Service,Other services,NPM ፕሮጀክት መሪ,P
NRM & Climate Services Specialist,,,agriculture,Forest development and related services,NRM እና የአየር ንብረት አገልግሎት ስፔሻሊስት,P
NRM & Livelihood Officer,,,agriculture,Forest development and related services,NRM እና ኑሮን መምራት,P
NRM and Climate Services Coordinator,,,agriculture,Forest development and related services,NRM እና የአየር ንብረት አገልግሎቶች አስተባባሪ,P
NRM/PW & Environment Facilitator,,,Service,"Conservation of plants, animals and nature attractions",NRM/PW እና አካባቢ አመቻች,P
"NTD Program, Trachoma Technical Assistant",,,Health,Health,NTD ፕሮግራም፣ ትራኮማ ቴክኒካል ረዳት,P
Nuer language native speaker,,,Service,Short-term language training and education,የኑዌር ቋንቋ አፍ መፍቻ,P
Nursery Section Head,,,agriculture,"Vegetable, Fruit Production, Seedling and Plant Seeds",የመዋዕለ ሕፃናት ክፍል ኃላፊ,P
Nursery Supervisor,,,agriculture,"Vegetable, Fruit Production, Seedling and Plant Seeds",የመዋዕለ ሕፃናት ተቆጣጣሪ,P
Nursing Coordinator/Matron,,,Health,Health,የነርሲንግ አስተባባሪ/ማትሮን,P
Nurturing Care Group Coordinator,,,Health,Health,እንክብካቤ ቡድን አስተባባሪ,P
Nutrition Advisor,,,Health,Health,የአመጋገብ አማካሪ,P
Nutrition and Agriculture Expert Consultant,,,agriculture,Agriculture,የአመጋገብ እና የግብርና ባለሙያ አማካሪ,P
Nutrition and Gender Officer,,,Health,Health,የአመጋገብ እና የሥርዓተ-ፆታ ኦፊሰር,P
Nutrition and Health Program Manager,,,Health,Health,የአመጋገብ እና የጤና ፕሮግራም አስተዳዳሪ,P
"Nutrition and School Feeding Specialist, Comprehensive Home-grown, Inclusive, Learning and Development School Feeding Project II (CHILD SFP II)",,,Service,Primary and secondary education,የተመጣጠነ ምግብ እና የትምህርት ቤት አመጋገብ ስፔሻሊስት፣ አጠቃላይ በቤት ውስጥ ያደገ፣ አካታች፣ መማር እና ልማት ትምህርት ቤት መመገብ ፕሮጀክት,P
Nutrition and WASH Coordinator,,,Health,Health,የአመጋገብ እና የንጽህና አጠባበቅ አስተባባሪ,P
Nutrition assistant,,,Health,Health,የአመጋገብ ረዳት,P
Nutrition Coordinator,,,Health,Health,የአመጋገብ አስተባባሪ,P
Nutrition Expert-Deputy Head of Department,,,Health,Health,የአመጋገብ ባለሙያ - የመምሪያው ምክትል ኃላፊ,P
Nutrition Field Worker,,,Health,Health,የአመጋገብ መስክ ሰራተኛ,P
Nutrition Intern,,,Health,Health,አመጋገብ ልምምድ,P
Nutrition Lecturer,,,Education,other,የአመጋገብ መምህር,P
Nutrition Manager,,,Health,Health,የአመጋገብ አስተዳዳሪ,P
Nutrition Monitoring & Survey Specialist,,,Health,Health,የአመጋገብ ክትትል እና የዳሰሳ ጥናት ባለሙያ,P
Nutrition officer,,,Health,Health,የአመጋገብ መኮንን,P
Nutrition/SBC Officer,,,Health,Health,የአመጋገብ/የኤስቢሲ ኦፊሰር,P
Nutritionist,,,Health,Health,የአመጋገብ ባለሙያ,P
Nutritionist and counseling psychologist,,,Health,Health,የስነ-ምግብ ባለሙያ እና የምክር ሳይኮሎጂስት,P
Nutritionist and Dietician,,,Health,Health,የአመጋገብ ባለሙያ እና የአመጋገብ ባለሙያ,P
Nutrition-Social and Behavioral Change Specialist,,,Health,Health,የተመጣጠነ ምግብ - የማህበራዊ እና የባህርይ ለውጥ ስፔሻሊስት,P
